topic_id,chunk_id,doc_id,query_id,generated_query,chunk_index,total_chunks,chunk_text,item_id,title,url,country,published_date,court,case_type,case_number,topic_label,topic_keywords,topic_probability,topic_name
0,5761_chunk000,5761,5761_chunk000_query,"when did A. and B., together with their two children, request international protection in Romania and Switzerland?",0,2,"A. and B., together with their two children, requested international protection in Romania on 12 July 2023 and in Switzerland on 26 July 2023. On 11 August 2023, they submitted an application for recognition of statelessness in Switzerland, claiming to be stateless Maktumin from Syria.",5761,"CH: The Federal Administrative Court dismissed the appeal of a stateless Maktumin family from Syria, holding that the applicants, who were in Romania following a Dublin transfer, lacked a legally protected interest in Switzerland to access the statelessness determination procedure.",https://caselaw.euaa.europa.eu/pages/viewcaselaw.aspx?CaseLawID=5761&returnurl=%2fPages%2fsearch.aspx,Switzerland,12/03/2025,CH: Federal Administrative Court [Bundesverwaltungsgericht - Tribunal administratif fédéral - FAC],Judgment,F-6775/2023,0_the_of_provide_what,"the, of, provide, what, for, and, asylum, to, in, definition",1.0,Asylum Definition And Assessment
0,5761_chunk001,5761,5761_chunk001_query,provide a definition of asylum rejection and transfer to Romania,1,2,"On 7 November 2023, the State Secretariat for Migration (SEM) rejected their asylum application and ordered their transfer to Romania. By separate decision, also dated 7 November 2023, the SEM rejected the...",5761,"CH: The Federal Administrative Court dismissed the appeal of a stateless Maktumin family from Syria, holding that the applicants, who were in Romania following a Dublin transfer, lacked a legally protected interest in Switzerland to access the statelessness determination procedure.",https://caselaw.euaa.europa.eu/pages/viewcaselaw.aspx?CaseLawID=5761&returnurl=%2fPages%2fsearch.aspx,Switzerland,12/03/2025,CH: Federal Administrative Court [Bundesverwaltungsgericht - Tribunal administratif fédéral - FAC],Judgment,F-6775/2023,0_the_of_provide_what,"the, of, provide, what, for, and, asylum, to, in, definition",0.8534094389233368,Asylum Definition And Assessment
0,4999_chunk000,4999,4999_chunk000_query,Provide details of an international protection application in Luxembourg,0,2,"The applicant is a national from Ethiopia. On 26 January 2024, the applicant requested international protection in Luxembourg. In support of her application, she claimed that she feared persecution and rape on account of her membership of the Ahmara ethnic group.",4999,"LU: The Administrative Tribunal held that further examination of the Hungarian asylum system was needed in the case of a Dublin transfer to Hungary, and that, where the general situation of deficiencies is known to the authorities of the requesting Member State, there is no need to place the full burden of proof on the applicant; it further held that a transfer acceptance letter, without concrete individual assurances that a person returned under Dublin would be accepted in the asylum procedure, was not enough to guarantee the right to apply for international protection.",https://caselaw.euaa.europa.eu/pages/viewcaselaw.aspx?CaseLawID=4999&returnurl=%2fPages%2fsearch.aspx,Luxembourg,20/09/2024,LU: Administrative Tribunal [Tribunal administratif],Judgment,No 50977,0_the_of_provide_what,"the, of, provide, what, for, and, asylum, to, in, definition",0.8656588697770564,Asylum Definition And Assessment
0,4999_chunk001,4999,4999_chunk001_query,what is the responsible state for examining an application under the Dublin III Regulation,1,2,"The Ministry of Home Affairs found that the responsible State for examining the application under the Dublin III Regulation was Hungary, as the applicant had a Hungarian...",4999,"LU: The Administrative Tribunal held that further examination of the Hungarian asylum system was needed in the case of a Dublin transfer to Hungary, and that, where the general situation of deficiencies is known to the authorities of the requesting Member State, there is no need to place the full burden of proof on the applicant; it further held that a transfer acceptance letter, without concrete individual assurances that a person returned under Dublin would be accepted in the asylum procedure, was not enough to guarantee the right to apply for international protection.",https://caselaw.euaa.europa.eu/pages/viewcaselaw.aspx?CaseLawID=4999&returnurl=%2fPages%2fsearch.aspx,Luxembourg,20/09/2024,LU: Administrative Tribunal [Tribunal administratif],Judgment,No 50977,0_the_of_provide_what,"the, of, provide, what, for, and, asylum, to, in, definition",1.0,Asylum Definition And Assessment
0,4997_chunk000,4997,4997_chunk000_query,provide details of the application for international protection by a family from Nagorno-Karabakh,0,2,"The applicants were a married couple and their child, of Armenian ethnicity, originating from the autonomous region of Nagorno-Karabakh. On 31 August 2021 they applied for international protection in Germany. In support of their application they claimed that the husband (applicant 1) had been drafted to the army in Nagorno-Karabakh after the outbreak of the war in September 2020.",4997,"DE: The Administrative Court of Kassel overturned a decision by the Federal Office for Migration and Refugees (BAMF) and ruled that a married couple and their child from Nagorno-Karabakh, who were effectively stateless, faced a well-founded risk of persecution if returned to Azerbaijan, as the refusal to recognise civil status and to issue travel documents to ethnic Armenians of Azerbaijani origin constituted an act of persecution.",https://caselaw.euaa.europa.eu/pages/viewcaselaw.aspx?CaseLawID=4997&returnurl=%2fPages%2fsearch.aspx,Germany,16/09/2024,DE: Regional Administrative Court [Verwaltungsgericht],Judgment,1 K 1819/23.KS.A,0_the_of_provide_what,"the, of, provide, what, for, and, asylum, to, in, definition",0.9178010457367654,Asylum Definition And Assessment
2,4997_chunk001,4997,4997_chunk001_query,define credibility assessment,1,2,"After his wife (applicant 2) moved to Yerevan (Armenia), he decided to leave the army...",4997,"DE: The Administrative Court of Kassel overturned a decision by the Federal Office for Migration and Refugees (BAMF) and ruled that a married couple and their child from Nagorno-Karabakh, who were effectively stateless, faced a well-founded risk of persecution if returned to Azerbaijan, as the refusal to recognise civil status and to issue travel documents to ethnic Armenians of Azerbaijani origin constituted an act of persecution.",https://caselaw.euaa.europa.eu/pages/viewcaselaw.aspx?CaseLawID=4997&returnurl=%2fPages%2fsearch.aspx,Germany,16/09/2024,DE: Regional Administrative Court [Verwaltungsgericht],Judgment,1 K 1819/23.KS.A,2_credibility_assessment_define_in,"credibility, assessment, define, in, claims, context, applications, asylum, ethiopian, interpreter",1.0,Credibility Assessment & Interpretation
0,4998_chunk000,4998,4998_chunk000_query,provide a summary of the applicant’s reasons for requesting international protection,0,2,"The applicant is a national of Iran. On 27 December 2023, he requested international protection in Luxembourg. In support of his application, he claimed he feared persecution, inhumane and degrading treatment or even the death penalty because of his homosexuality, his opposition to the Iranian government and his support to the “organisation of the Mujahedin of the Iranian People”.",4998,"LU: The Administrative Tribunal held that further examination of the Hungarian asylum system was needed in the case of a Dublin transfer to Hungary, and that, where the general situation of deficiencies is known to the authorities of the requesting Member State, there is no need to place the full burden of proof on the applicant; it further held that a transfer acceptance letter, without concrete individual assurances that a person returned under Dublin would be accepted in the asylum procedure, was not enough to guarantee the right to apply for international protection.",https://caselaw.euaa.europa.eu/pages/viewcaselaw.aspx?CaseLawID=4998&returnurl=%2fPages%2fsearch.aspx,Luxembourg,30/08/2024,LU: Administrative Tribunal [Tribunal administratif],Judgment,No 50847,0_the_of_provide_what,"the, of, provide, what, for, and, asylum, to, in, definition",0.886943965516293,Asylum Definition And Assessment
1,4998_chunk001,4998,4998_chunk001_query,provide a definition of credibility assessment,1,2,The Ministry for Home Affairs...,4998,"LU: The Administrative Tribunal held that further examination of the Hungarian asylum system was needed in the case of a Dublin transfer to Hungary, and that, where the general situation of deficiencies is known to the authorities of the requesting Member State, there is no need to place the full burden of proof on the applicant; it further held that a transfer acceptance letter, without concrete individual assurances that a person returned under Dublin would be accepted in the asylum procedure, was not enough to guarantee the right to apply for international protection.",https://caselaw.euaa.europa.eu/pages/viewcaselaw.aspx?CaseLawID=4998&returnurl=%2fPages%2fsearch.aspx,Luxembourg,30/08/2024,LU: Administrative Tribunal [Tribunal administratif],Judgment,No 50847,1_credibility_assessment_definition_provide,"credibility, assessment, definition, provide, of, context, define, in, remote, cultivation",1.0,Credibility Assessment Definition
0,4992_chunk000,4992,4992_chunk000_query,provide details of the applicant’s travel history and international protection request,0,2,"The applicant is a national of Russia. In December 2023, he travelled to Czechia after receiving a Schengen tourist visa at the Hungarian embassy in Russia. On 24 December 2023, he requested international protection in Czechia.",4992,"CZ: The Supreme Administrative Court ruled that, while Hungary's asylum system exhibits systemic deficiencies, the Ministry of the Interior had failed to prove whether these deficiencies affected persons transferred under the Dublin III Regulation. The court found that the evidence presented did not establish whether the possibility of continuing an application after a transfer to Hungary was a legally binding practice and consequently returned the case to the Ministry for further analysis.",https://caselaw.euaa.europa.eu/pages/viewcaselaw.aspx?CaseLawID=4992&returnurl=%2fPages%2fsearch.aspx,Czech Republic,28/08/2024,CZ: Supreme Administrative Court [Nejvyšší správní soud],Decision,2 Azs 134/2024 - 31,0_the_of_provide_what,"the, of, provide, what, for, and, asylum, to, in, definition",0.8240859065918854,Asylum Definition And Assessment
0,4992_chunk001,4992,4992_chunk001_query,provide a definition of fear of persecution,1,2,"In support of his application, the applicant claimed that he feared persecution in Russia due to his previous participation in demonstrations against the war in Ukraine and his support to the opposition.",4992,"CZ: The Supreme Administrative Court ruled that, while Hungary's asylum system exhibits systemic deficiencies, the Ministry of the Interior had failed to prove whether these deficiencies affected persons transferred under the Dublin III Regulation. The court found that the evidence presented did not establish whether the possibility of continuing an application after a transfer to Hungary was a legally binding practice and consequently returned the case to the Ministry for further analysis.",https://caselaw.euaa.europa.eu/pages/viewcaselaw.aspx?CaseLawID=4992&returnurl=%2fPages%2fsearch.aspx,Czech Republic,28/08/2024,CZ: Supreme Administrative Court [Nejvyšší správní soud],Decision,2 Azs 134/2024 - 31,0_the_of_provide_what,"the, of, provide, what, for, and, asylum, to, in, definition",0.9242216428980209,Asylum Definition And Assessment
0,4962_chunk000,4962,4962_chunk000_query,define recognition of statelessness,0,2,"On 17 March 2021, the applicant applied for recognition of statelessness. In support of her application, she claimed that she was a Latvian non-citizen, which represents a category of people who lived in Latvia when it was still a part of the Soviet Union and then remained there after 1991 without acquiring Latvian citizenship.",4962,"CZ: The Municipal Court in Prague ruled that the applicant, as a Latvian non-citizen, could be considered a stateless individual, as non-citizens are not considered nationals of Latvia or any other State, and, although they reside in Latvia, they do not enjoy the same rights and obligations associated with Latvian citizenship. Moreover, the court ruled that the status of non-citizens was not of a temporary nature.",https://caselaw.euaa.europa.eu/pages/viewcaselaw.aspx?CaseLawID=4962&returnurl=%2fPages%2fsearch.aspx,Czech Republic,18/07/2024,CZ: Regional Court [Krajský soud],Decision,11 A 52/2022-57,0_the_of_provide_what,"the, of, provide, what, for, and, asylum, to, in, definition",0.3918278409447442,Asylum Definition And Assessment
0,4962_chunk001,4962,4962_chunk001_query,provide a definition of statelessness denial,1,2,"On 19 July 2022, the Ministry of the Interior denied the request for statelessness. The applicant...",4962,"CZ: The Municipal Court in Prague ruled that the applicant, as a Latvian non-citizen, could be considered a stateless individual, as non-citizens are not considered nationals of Latvia or any other State, and, although they reside in Latvia, they do not enjoy the same rights and obligations associated with Latvian citizenship. Moreover, the court ruled that the status of non-citizens was not of a temporary nature.",https://caselaw.euaa.europa.eu/pages/viewcaselaw.aspx?CaseLawID=4962&returnurl=%2fPages%2fsearch.aspx,Czech Republic,18/07/2024,CZ: Regional Court [Krajský soud],Decision,11 A 52/2022-57,0_the_of_provide_what,"the, of, provide, what, for, and, asylum, to, in, definition",0.39011646734054667,Asylum Definition And Assessment
0,4828_chunk000,4828,4828_chunk000_query,"asylum application details: Burundian national, Tutsi community, 18 March 2022, fears of persecution, journalist support, Rwanda, Kenya, refoulement fear",0,2,"A Burundian national belonging to the Tutsi community applied for asylum on 18 March 2022. He fled Burundi in 2015 because he feared persecution based on his work as an independent consultant and supporter/translator for journalists. Before arriving in the Netherlands, the applicant resided in Rwanda and Kenya. However, he did not feel safe in either country and feared refoulement to Burundi.",4828,"NL: The District Court of the Hague, seated in Roermond, annulled the Minister for Asylum and Migration’s decision declaring inadmissible an application of a Burundian national on the basis that Rwanda was considered a safe third country.",https://caselaw.euaa.europa.eu/pages/viewcaselaw.aspx?CaseLawID=4828&returnurl=%2fPages%2fsearch.aspx,Netherlands,12/07/2024,NL: Court of The Hague [Rechtbank Den Haag],Judgment,NL23.22717,0_the_of_provide_what,"the, of, provide, what, for, and, asylum, to, in, definition",0.9010492105198691,Asylum Definition And Assessment
1,4828_chunk001,4828,4828_chunk001_query,provide a definition of credibility assessment,1,2,"On 1 August 2023, the Minister for Asylum and Migration declared...",4828,"NL: The District Court of the Hague, seated in Roermond, annulled the Minister for Asylum and Migration’s decision declaring inadmissible an application of a Burundian national on the basis that Rwanda was considered a safe third country.",https://caselaw.euaa.europa.eu/pages/viewcaselaw.aspx?CaseLawID=4828&returnurl=%2fPages%2fsearch.aspx,Netherlands,12/07/2024,NL: Court of The Hague [Rechtbank Den Haag],Judgment,NL23.22717,1_credibility_assessment_definition_provide,"credibility, assessment, definition, provide, of, context, define, in, remote, cultivation",1.0,Credibility Assessment Definition
0,4729_chunk000,4729,4729_chunk000_query,provide a definition of international protection request,0,2,"A national of Tajikistan from the Pamiri ethnic group requested international protection in Luxembourg on 16 January 2020, claiming a risk of persecution due to his political activities related to revealing unlawful practices and abuses of power within the State.",4729,"LU: The Administrative Tribunal examined a second application lodged by a Tajik national and held that the applicant did not prove that the evidence submitted could be regarded as new elements significantly increasing the likelihood that he would qualify for international protection or that he was unable to rely on them during the previous procedure, including during the litigation phase.",https://caselaw.euaa.europa.eu/pages/viewcaselaw.aspx?CaseLawID=4729&returnurl=%2fPages%2fsearch.aspx,Luxembourg,08/07/2024,LU: Administrative Tribunal [Tribunal administratif],Judgment,No 50568,0_the_of_provide_what,"the, of, provide, what, for, and, asylum, to, in, definition",1.0,Asylum Definition And Assessment
1,4729_chunk001,4729,4729_chunk001_query,provide a definition of credibility assessment,1,2,"By decision of 23 December 2021, his request was rejected as unfounded on the ground that his statements lacked credibility and was ordered to leave the territory within 30 days. He appealed the decision, and the appeal was dismissed...",4729,"LU: The Administrative Tribunal examined a second application lodged by a Tajik national and held that the applicant did not prove that the evidence submitted could be regarded as new elements significantly increasing the likelihood that he would qualify for international protection or that he was unable to rely on them during the previous procedure, including during the litigation phase.",https://caselaw.euaa.europa.eu/pages/viewcaselaw.aspx?CaseLawID=4729&returnurl=%2fPages%2fsearch.aspx,Luxembourg,08/07/2024,LU: Administrative Tribunal [Tribunal administratif],Judgment,No 50568,1_credibility_assessment_definition_provide,"credibility, assessment, definition, provide, of, context, define, in, remote, cultivation",1.0,Credibility Assessment Definition
0,4730_chunk000,4730,4730_chunk000_query,provide a case study of political asylum application,0,2,"A national of Guinea requested international protection in Luxembourg on 31 May 2022, relying on his political activism, and in particular on his participation in various demonstrations severely repressed by the political power in place, which led to him being imprisoned and tortured by the Guinean authorities.",4730,"LU: The Administrative Tribunal examined a second application lodged by a national of Guinea and held that the applicant did not prove that the evidence submitted could be regarded as new elements significantly increasing the likelihood that he would qualify for international protection or that he was unable to rely on them during the previous procedure, including during the litigation phase.",https://caselaw.euaa.europa.eu/pages/viewcaselaw.aspx?CaseLawID=4730&returnurl=%2fPages%2fsearch.aspx,Luxembourg,08/07/2024,LU: Administrative Tribunal [Tribunal administratif],Judgment,No 50742,0_the_of_provide_what,"the, of, provide, what, for, and, asylum, to, in, definition",0.9103926681106194,Asylum Definition And Assessment
0,4730_chunk001,4730,4730_chunk001_query,provide a definition of the decision to leave the territory,1,2,"By decision of 8 December 2022, his request was rejected as unfounded and was ordered to leave the territory within 30 days. He appealed the decision, and the appeal was dismissed by...",4730,"LU: The Administrative Tribunal examined a second application lodged by a national of Guinea and held that the applicant did not prove that the evidence submitted could be regarded as new elements significantly increasing the likelihood that he would qualify for international protection or that he was unable to rely on them during the previous procedure, including during the litigation phase.",https://caselaw.euaa.europa.eu/pages/viewcaselaw.aspx?CaseLawID=4730&returnurl=%2fPages%2fsearch.aspx,Luxembourg,08/07/2024,LU: Administrative Tribunal [Tribunal administratif],Judgment,No 50742,0_the_of_provide_what,"the, of, provide, what, for, and, asylum, to, in, definition",0.7936418241914955,Asylum Definition And Assessment
0,4728_chunk000,4728,4728_chunk000_query,provide a summary of the case involving a Belarusian national who requested international protection in Luxembourg and had her appeals dismissed,0,2,"A national of Belarus requested international protection in Luxembourg on 7 February 2020. By decision of 27 September 2019, her request was rejected as unfounded and she was ordered to leave the territory within 30 days. She appealed the decision, and her appeal was dismissed by final decision of the Administrative Court on 28 June 2022.",4728,"LU: The Administrative Tribunal examined a second application lodged by a Belarusian national and held that the applicant did not prove that her new claims could be regarded as new elements significantly increasing the likelihood that she would qualify for international protection or that she was unable to rely on them during the previous procedure, including during the litigation phase.",https://caselaw.euaa.europa.eu/pages/viewcaselaw.aspx?CaseLawID=4728&returnurl=%2fPages%2fsearch.aspx,Luxembourg,28/06/2024,LU: Administrative Tribunal [Tribunal administratif],Judgment,No 50524,0_the_of_provide_what,"the, of, provide, what, for, and, asylum, to, in, definition",1.0,Asylum Definition And Assessment
0,4728_chunk001,4728,4728_chunk001_query,provide a definition of international protection application date,1,2,"On 20 February 2024, the applicant lodged a second application for international protection with the Ministry and on the same day she was heard by...",4728,"LU: The Administrative Tribunal examined a second application lodged by a Belarusian national and held that the applicant did not prove that her new claims could be regarded as new elements significantly increasing the likelihood that she would qualify for international protection or that she was unable to rely on them during the previous procedure, including during the litigation phase.",https://caselaw.euaa.europa.eu/pages/viewcaselaw.aspx?CaseLawID=4728&returnurl=%2fPages%2fsearch.aspx,Luxembourg,28/06/2024,LU: Administrative Tribunal [Tribunal administratif],Judgment,No 50524,0_the_of_provide_what,"the, of, provide, what, for, and, asylum, to, in, definition",1.0,Asylum Definition And Assessment
0,4709_chunk000,4709,4709_chunk000_query,provide a definition of well-founded fear of persecution,0,2,"A Syrian national requested international protection in Germany, alleging a well-founded fear of persecution in his country of origin due to the ongoing civil war and a risk of forced conscription.",4709,"DE: The Regional Administrative Court of Sigmaringen granted refugee status to a Syrian national in a reopening after referral to the CJEU and found that the applicant would likely face persecution upon return to Syria, where the regime would perceive him as a political opponent and penalise him for evading military conscription.",https://caselaw.euaa.europa.eu/pages/viewcaselaw.aspx?CaseLawID=4709&returnurl=%2fPages%2fsearch.aspx,Germany,30/04/2024,DE: Regional Administrative Court [Verwaltungsgericht],Follow-up CJEU preliminary ruling,A 4 K 537/24,0_the_of_provide_what,"the, of, provide, what, for, and, asylum, to, in, definition",0.9148868034676073,Asylum Definition And Assessment
3,4709_chunk001,4709,4709_chunk001_query,define subsidiary protection granted by the BAMF,1,2,"By decision of 16 August 2017, the Federal Office for Migration and Refugees (BAMF) granted subsidiary protection to the applicant, and also to his wife and their four children, noting the serious risks posed by the civil war throughout all regions of Syria. However, it...",4709,"DE: The Regional Administrative Court of Sigmaringen granted refugee status to a Syrian national in a reopening after referral to the CJEU and found that the applicant would likely face persecution upon return to Syria, where the regime would perceive him as a political opponent and penalise him for evading military conscription.",https://caselaw.euaa.europa.eu/pages/viewcaselaw.aspx?CaseLawID=4709&returnurl=%2fPages%2fsearch.aspx,Germany,30/04/2024,DE: Regional Administrative Court [Verwaltungsgericht],Follow-up CJEU preliminary ruling,A 4 K 537/24,3_subsidiary_protection_the_define,"subsidiary, protection, the, define, is, what, need, person, status, can",0.8913510864434055,Subsidiary Protection Definition
0,4960_chunk000,4960,4960_chunk000_query,provide a timeline of the applicant’s residence permit in Lithuania,0,2,The applicant entered the Republic of Lithuania on 12 November 2021 via Riga International Airport and was issued a temporary residence permit valid until 11 August 2025.,4960,"LT: The Supreme Administrative Court ruled that, in accordance with the CJEU judgment in M.A. (C-72/22), restricting the freedom of movement within a reception facility should be considered detention and not an alternative to detention.",https://caselaw.euaa.europa.eu/pages/viewcaselaw.aspx?CaseLawID=4960&returnurl=%2fPages%2fsearch.aspx,Lithuania,20/03/2024,LT: Supreme Administrative Court of Lithuania [Lietuvos vyriausiasis administracinis teismas],Decision,A-1456-624/2024,0_the_of_provide_what,"the, of, provide, what, for, and, asylum, to, in, definition",1.0,Asylum Definition And Assessment
