qid,query,docno,docid,score,rank,text
0,Applicant Detention and Asylum Claims,550_chunk000,367,0.6756246,16,"The case involved an asylum seeker upon whom detention was imposed as a measure to ensure a Dublin procedure. The asylum seeker lodged a complaint against a decision that had been issued based on Art. 5 of the Asylum Act 2005, rejecting the application as inadmissible."
0,Applicant Detention and Asylum Claims,550_chunk001,368,0.6752769,17,"The Federal Administrative Court subsequently denied the complaint, whereupon the asylum seeker lodged a complaint against detention. The court proceedings dealing with the individual's detention addressed the question of..."
0,Applicant Detention and Asylum Claims,108_chunk000,392,0.6733686,18,According the ECHR's Information Note 213 (December 2017): The applicant entered Switzerland in 2009 and applied for asylum on the grounds that he had been imprisoned and tortured in his country of origin (Iran) after taking part in a demonstration there. His application was rejected after the Swiss authorities found that his account was not credible.
0,Applicant Detention and Asylum Claims,209_chunk000,502,0.6717968,19,"In this case, the applicant applied for asylum in his city of residence, Ceuta, and his application was admitted. At that point the Spanish authorities issued him the corresponding identity document valid for the entire national territory and until the resolution of his asylum application."
0,Applicant Detention and Asylum Claims,3321_chunk000,130,0.6717225,20,"The applicant applied for international protection in 2017, claiming that he had to flee Bangladesh after being subjected to ill-treatment from state authorities due to his belonging to the Rohingya ethnic group. The BFA rejected the applicant's request and issued a removal order against him. The applicant appealed against this decision."
0,Applicant Detention and Asylum Claims,50_chunk001,405,0.67139715,21,"The Municipal Court found out that the applicant during his detention lodged the application for international protection, he was re-detained under the provisions of the Act on Asylum implementing Art. 8(3)(d) of the Recast Reception Directive and for this reason his original..."
0,Applicant Detention and Asylum Claims,50_chunk000,404,0.670629,22,The applicant (Tunisian national) was detained by the Police of the Czech Republic for the purpose of the removal enforcement. The applicant challenged the decision on detention before the Municipal Court of Prague.
0,Applicant Detention and Asylum Claims,3924_chunk001,61,0.6693313,23,"The applicant, a Palestinian national arrived in Cyprus via the occupied territories and was detained pursuant to the Aliens and Immigration Law and a deportation order was issued. He applied for asylum but was granted a supplementary protection status..."
0,Applicant Detention and Asylum Claims,1564_chunk000,203,0.6691159,24,HA applied for asylum in May 2015 alleging that he is registered with UNRWA and that upon return to Gaza he is at risk of being killed or subjected to inhuman or degrading treatment.
0,Applicant Detention and Asylum Claims,951_chunk000,188,0.66798747,25,The case concerns the risk situation in case of return to the country of origin as well as fear of persecution by the Taliban forces.
0,Applicant Detention and Asylum Claims,200_chunk000,428,0.66764784,26,"The applicants, a woman and her three children, were nationals of Pakistan who applied for asylum in the State. They had lived in the UK with the first applicant's husband whom the first named applicant claimed had been violently abusive towards her and the children."
0,Applicant Detention and Asylum Claims,197_chunk000,482,0.66764784,27,"The applicants, a woman and her three children, were nationals of Pakistan who applied for asylum in the State. They had lived in the UK with the first applicant's husband whom the first named applicant claimed had been violently abusive towards her and the children."
0,Applicant Detention and Asylum Claims,914_chunk001,223,0.66747713,28,The Migration Court of Appeal assessed whether the applicant had acted under duress and held that this was not the case as the applicant had benefitted from three permits and always came back to the place of employment. The applicant chose to flee...
0,Applicant Detention and Asylum Claims,4231_chunk000,34,0.6664676,29,"The case concerned the question whether the State Secretary had correctly established the date from which the applicant benefits of asylum, how to establish the date of application."
0,Applicant Detention and Asylum Claims,3981_chunk000,62,0.6662272,30,"The case concerned an applicant from Belarus, a mother with her minor son who applied for asylum in Slovakia claiming a fear of persecution upon return to her home country due to opposition to the current regime. She claimed to have publicly and actively participated in anti-government protests following the 2020 presidential elections, within the territory of Slovakia."
0,Applicant Detention and Asylum Claims,3277_chunk000,118,0.6661497,31,The applicant is an Algerian national who applied for international protection in the Netherlands and the State Secretary decided on 30 November 2021 not to process the application in the regular procedure. The applicant claimed that during the registration phase he was not informed of the possibility to apply for legal assistance.
0,Applicant Detention and Asylum Claims,22_chunk000,432,0.6641673,32,"The Finnish Immigration Service had rejected asylum seeker A's application for asylum and residence permit and decided to return him to his country of origin, Iraq. On 29 June 2017 A. requested permission to appeal the decision of the Administrative Court and to be granted international protection."
0,Applicant Detention and Asylum Claims,2509_chunk000,136,0.66415274,33,"The applicant, Guinean national, contested the inadmissibility decision adopted based on Paragraph 29(1)(1)(a) of the AsylG, because he entered Germany and applied for international protection on 11 April 2018 but he had previously applied in Spain (Eurodac hit report). The BAMF also found no prohibition to deportation and issued a 6 months entry ban."
0,Applicant Detention and Asylum Claims,1010_chunk000,209,0.66307676,34,"On 10 October 2018 the applicant was detained for illegal stay in the Czech Republic and placed in detention. Through EURODAC information, it was confirmed that the applicant had applied for international protection in Germany, Denmark and Switzerland. In addition, according to a communication from Germany, the complainant had at least six other identities."
0,Applicant Detention and Asylum Claims,186_chunk000,476,0.6604874,35,"According the WLR Daily case summaries The asylum claimant, an Iraqi national, entered the United Kingdom and claimed asylum. His claim was refused by the Secretary of State and he appealed pursuant to section 82 of the Nationality, Immigration and Asylum Act 2002. His appeal was dismissed by the First-tier Tribunal."
0,Applicant Detention and Asylum Claims,3239_chunk000,114,0.65833235,36,"The applicant was refused refugee protection and granted subsidiary protection by national authorities. He appealed against this decision before the Municipal Court, requesting the annulment of the part of the decision rejecting his request for refugee protection."
0,Applicant Detention and Asylum Claims,170_chunk000,434,0.6582364,37,Administrative Court Düsseldorf The plaintiff is an asylum seeker and claims to be from Bangladesh.
0,Applicant Detention and Asylum Claims,196_chunk000,472,0.6581763,38,The applicant applied for asylum in two occasions: in the United Kingdom in 2009 and in Northern Ireland in 2014 and both applications were refused by the corresponding British Authorities. The applicant moved to Ireland in August 2016 where he submitted a new asylum application.
0,Applicant Detention and Asylum Claims,3168_chunk000,82,0.6577814,39,"The applicants, a Kazakh woman and her two children, born in 2009 and 2011, applied for international protection in Austria in 2012. Their applications were rejected and their deportation to Kazakhstan was ordered by the Federal Office for Foreign Affairs and Asylum, who, in weighting public and private interests, considered that the mother's integration in Austria was insufficient."
0,Applicant Detention and Asylum Claims,981_chunk001,168,0.653954,40,"Upon appeal, the applicant argued that he is a Palestinian refugee, and that he is eligible of UNRWA protection despite not having been registered with and not having received material assistance from UNRWA or lived in its area of operation. The applicant claimed to fall within the personal scope of Article 1D..."
0,Applicant Detention and Asylum Claims,1090_chunk000,232,0.6530699,41,"The applicant, a Nigerian national, requested international protection after entering Austria on 21 September 2015. This application was rejected by decision of the Federal Office for Aliens and Asylum (BFA) on 31 October 2017. A return decision was issued against the applicant and it was not contested."
0,Applicant Detention and Asylum Claims,4709_chunk000,30,0.6530291,42,"A Syrian national requested international protection in Germany, alleging a well-founded fear of persecution in his country of origin due to the ongoing civil war and a risk of forced conscription."
0,Applicant Detention and Asylum Claims,650_chunk000,295,0.65288365,43,The case concerns the suspension of the implementation of a decision on refusal of international protection.
0,Applicant Detention and Asylum Claims,4167_chunk000,64,0.6519321,44,"An applicant of Syrian nationality and Sunni Islamic religion requested international protection on 24 November 2021 in Austria. The Federal Office for Immigration and Asylum (BFA) did not grant him refugee status but subsidiary protection, a decision which he appealed to the Federal Administrative Court."
0,Applicant Detention and Asylum Claims,590_chunk000,350,0.6518192,45,"In an urgent action for the «granting of asylum or of a residence permit for subsidiary protection» the use of «official international reports on the political and social situation of the applicant's country of origin», by the court of appeal is not in breach of Articles 412 and 662 of the Civil Procedure Code.

..."
0,Applicant Detention and Asylum Claims,56_chunk000,490,0.6516516,46,The applicants were two Albanian asylum seekers who challenged the decision of the Refugee Appeals Tribunal upholding the decision of the Office of the Refugee Applications Commissioner that the United Kingdom was the member state responsible for determining their applications for asylum.
0,Applicant Detention and Asylum Claims,3269_chunk000,128,0.65136504,47,"The applicant, a national of Somalia, applied for international protection in France on 18 December 2020 and he was placed under the Dublin procedure while a request was sent to Germany, considered the Member State responsible to examine the request for international protection. The applicant returned to Germany, and thereafter returned to France and asked for asylum a second time on 26 May 2021."
0,Applicant Detention and Asylum Claims,3230_chunk000,96,0.65135944,48,"The applicant, an Afghan national, was denied subsidiary protection on exclusion grounds, namely that there were serious reasons for considering that he had committed a serious crime. The decision was upheld by the National Court of Asylum (CNDA), and the applicant subsequently appealed to the Council of State."
0,Applicant Detention and Asylum Claims,55_chunk001,539,0.6509011,49,As part of her asylum claim the applicant submitted a refugee card and a letter from AREF to corroborate her account. The...
0,Applicant Detention and Asylum Claims,1012_chunk000,201,0.65063137,50,The applicant arrived as a transit passenger on 18 March 2019 by air from Moscow to the Czech Republic and applied for international protection at the Václav Havel Airport Prague. The applicant was refused entry into the territory as she was registered in the Schengen Information System (SIS) as an undesirable alien to whom refusal of entry into the Schengen area was to be made.
0,Applicant Detention and Asylum Claims,57_chunk000,410,0.6501509,51,The applicant came to Ireland in 2007. She applied for refugee status in 2011. Her application was unsuccessful. She appealed to the first respondent. The appeal was a papers only appeal. The appeal was unsuccessful.
0,Applicant Detention and Asylum Claims,23_chunk000,454,0.64961016,52,"The Finnish Immigration Service had rejected A 's application for asylum and residence permit on the basis of the conflict between A and his father' s claims for asylum. Although the father's report has thus affected A's case, he or she has not been given the opportunity to give an explanation of the report and contradictions that it has in relation to his or her report."
0,Applicant Detention and Asylum Claims,84_chunk000,543,0.6492559,53,"In summary, the applicant claims as follows. He is a national of the Democratic Republic of Congo. He has a well-founded fear of persecution if returned to that country on the ground of his membership of a particular social group, specifically his family, and of his political opinion, specifically his membership of, and involvement with, the UDPS political party there."
0,Applicant Detention and Asylum Claims,1647_chunk000,149,0.64860475,54,"MM and F, nationals of Pakistan, applied for international protection on 4 October 2015, but it was rejected  and the Federal Administrative Court confirmed it by decision of 22 October 2018, jointly with the issuance of a return order against the applicants. A subsequent application was submitted from detention centre by the second applicant, on 3 March 2020."
0,Applicant Detention and Asylum Claims,607_chunk000,331,0.64817345,55,"X, an Iraqi national, was notified of the withdrawal of his fixed-period residence permit, the rejection of his application for international protection, and an obligation to return. X appealed against that decision before the District Court of The Hague in the Netherlands, which annulled it whilst maintaining its legal effects."
0,Applicant Detention and Asylum Claims,1011_chunk000,256,0.64806163,56,"The case concerns a challenge to detention under the recast Reception Conditions Directive. The applicant requested international protection after being found illegally working in the Czech Republic and using fake documents to obtain such work.

..."
0,Applicant Detention and Asylum Claims,2507_chunk000,132,0.6479378,57,"The case concerned an Afghan applicant who contested an inadmissible decision based on Paragraph 29(1)(1)(a) of the AsylG because he had previously applied for asylum in Denmark. The Danish authorities agreed to a readmission on 9 November 2017, and the BAMF ordered the transfer and found no prohibition for the deportation."
0,Applicant Detention and Asylum Claims,3275_chunk000,104,0.647468,58,"The applicant, a Syrian national, applied for international protection on 2 October 2021 in Austria. As he had already applied for international protection in Malta in September 2021, the Federal Office for Immigration and Asylum (BFA) requested the Maltese authorities to take back the applicant, which Malta accepted."
0,Applicant Detention and Asylum Claims,2508_chunk000,134,0.64744735,59,"The applicant, national of Philippine, contested an inadmissibility decision issued by BAMF on 21 February 2018 on the basis of Paragraph 29(1)(1)(a) AsylG, because he has previously applied for international protection in France. It was decided that there are ni prohibitions to deportation and ordered a 9 months entry ban."
0,Applicant Detention and Asylum Claims,3207_chunk000,86,0.6460646,60,"The applicant, Afghan national, applied for international protection and received a negative decision because the authorities considered that he did not fulfil the eligibility criteria and that the fact of leaving the country due to fear of an unstable political and security situation after the Taliban took overpower in August 2021."
0,Applicant Detention and Asylum Claims,4037_chunk000,48,0.64526606,61,"The case concerned the cassation appeal submitted by H.A., Syrian national, against the negative decision on his asylum application issued by the State Agency for Refugees."
0,Applicant Detention and Asylum Claims,3960_chunk000,50,0.6446978,62,"The applicant, an Uzbek and Tajik national, requested international protection in Czechia on 30 September 2020, after he was arrested following a vehicle check when it was found that he was the subject of an arrest warrant in Uzbekistan. The Ministry of the Interior rejected the request by decision of 30 May 2023."
0,Applicant Detention and Asylum Claims,88_chunk000,438,0.6427357,63,"The Court of Appeal confirmed that the First-tier Tribunal had been entitled to refuse an asylum seeker's appeal against the refusal of her claims for asylum and humanitarian protection. She had failed to establish a well-founded fear of persecution if returned to Iran on the basis of her political activities, conversion to Christianity, and the risk of domestic violence from her husband..."
0,Applicant Detention and Asylum Claims,3924_chunk000,60,0.6427301,64,The applicant contested a return decision issued on 21 December 2022 where the authorities ordered deportation to an unspecified country and requested also protection against refoulement based on Articles 2 and 3 of the ECHR.
0,Applicant Detention and Asylum Claims,3286_chunk001,123,0.6416683,65,"The Supreme Court confirmed that the application for international protection implies the suspension of the removal procedure for irregular stay that could affect the applicant, until the Administration issues an initial decision..."
0,Applicant Detention and Asylum Claims,960_chunk000,228,0.64154536,66,"The appellants were Albanian nationals who previously lived in Kosovo (*). They arrived in Ireland on 12 December 2014 and two days later they made an application for asylum. They did not disclose a full account of the circumstances of their arrival in Ireland, in particular that they had previously been issued with a visa for the United Kingdom."
0,Applicant Detention and Asylum Claims,651_chunk001,328,0.6414226,67,"The case concerned the applicant's deportation from Germany to Tunisia because he was deemed to be a potential offender who posed a threat to national security (so-called “Gefährder”), based on his activities for “Islamic State”. The Court..."
0,Applicant Detention and Asylum Claims,46_chunk000,507,0.6410592,68,"The applicant (Ukrainian national) had arrived to the Czech Republic in 2006 on the basis of a work permit. In November 2016, he lodged the application for international protection which was dismissed by the administrative authority."
0,Applicant Detention and Asylum Claims,923_chunk000,264,0.6404137,69,An applicant must submit a request for protection with which he asserts target-country-related dangers that are objectively suitable in their nature for recognition as a person entitled to asylum or an award for international protection (material asylum request within the meaning of Section 13 (1) Asylum Act) refer the asylum procedure to the Federal Office.
0,Applicant Detention and Asylum Claims,24_chunk000,521,0.64011246,70,"On 30 June 2015, the Finnish Immigration Service rejected the application for an international protection and residence permit issued by Nigerian citizen A ('the appellant') and her minor children B and C. The applicants claimed threats due to the Ebola virus and the Boko Haram terrorist group. The applicant also claimed to be a victim of trafficking due to forced prostitution in Italy."
0,Applicant Detention and Asylum Claims,4235_chunk000,44,0.63938785,71,"The case concerned two Iranian applicant, a father and his minor child, who entered the Röszke transit zone and applied for asylum on 5 December 2018. The asylum authority rejected the application as inadmissible and considered that Serbia was a safe third country where the applicants should have requested asylum. The decision was confirmed in court."
0,Applicant Detention and Asylum Claims,2506_chunk001,113,0.63778114,72,The applicant also had a child and invoked the protection of family life and best interests of the child as a...
0,Applicant Detention and Asylum Claims,1648_chunk001,152,0.63740766,73,"On 17 November 2011, the Federal Asylum Office rejected again the application, after having found also that the applicant was from Nigeria and ordered the return...."
0,Applicant Detention and Asylum Claims,563_chunk000,348,0.63723063,74,"The case concerns the moment at which an asylum application is lodged, in particular with regard to a subsequent asylum application. This moment is important for the entitlement to reception by the foreign national."
0,Applicant Detention and Asylum Claims,3406_chunk001,79,0.6370233,75,"The Federal Office for Migration and Refugees (BAMF) confirmed a Eurodac hit with regard to Croatia, where the applicants also applied for asylum.

The applicants argued that in Croatia they were receiving..."
0,Applicant Detention and Asylum Claims,3957_chunk000,66,0.63689095,76,"An applicant from Transnistria, with Moldovan nationality, who applied for international protection in Czechia, stated at the end of the interview, when asked by the case officer, that he would waive the right to comment on the country of origin (COI) documents which would be used in the case file as evidence, noting that he knew the situation in Moldova and Transnistria."
0,Applicant Detention and Asylum Claims,173_chunk000,540,0.6368059,77,"A Sri Lankan national's appeal against the refusal of his asylum claim based on his membership of proscribed groups and participation in political demonstrations was allowed. The First-tier Tribunal and Upper Tribunal had not been referred to 2014 Home Office policy guidance entitled ""Tamil Separatism"" which was material to the decision and might realistically have affected the outcome...."
0,Applicant Detention and Asylum Claims,1088_chunk000,338,0.63678765,78,"The decision concerns two joined cases 422159 and 422160, in which the applicants requested from the OFPRA the allowance for asylum applicants and transport vouchers necessary for them to travel to a hearing for the purpose of the Dublin procedure."
0,Applicant Detention and Asylum Claims,955_chunk001,177,0.6367029,79,In September 2018 the application was refused by the Minister for Justice on the basis that it had not been submitted within 12 months of the grant of refugee status as required by section 56(8) of the International Protection Act 2015. The applicant then...
0,Applicant Detention and Asylum Claims,51_chunk000,450,0.63663965,80,"Subsequent application for international protection lodged by the applicant (national of Cameroon) in 2014 was declared inadmissible and asylum proceedings was terminated by the decision of the administrative authority, which came to the conclusion that the applicant had not presented any new elements or findings which she would be incapable to present in the previous procedure initiated by her fi"
0,Applicant Detention and Asylum Claims,931_chunk000,240,0.63659024,81,"Pursuant to Art. 4a of the Asylum Act 2005, an application for international protection is to be rejected as inadmissible where the foreign person has been granted asylum or subsidiary protection status in another EEA Member State or Switzerland. In the specific case, the appellant, a Syrian citizen, filed an application for international protection in April 2018."
0,Applicant Detention and Asylum Claims,625_chunk001,567,0.63650995,82,No appeal is possible against these judgments. Background: Both aliens initially applied for asylum in Hungary. They then applied for...
0,Applicant Detention and Asylum Claims,914_chunk000,222,0.63604814,83,A. applied for asylum in Sweden in April 2015. The application was rejected and the applicant excluded from asylum for having committed crimes against humanity while working as a guard in Eritrea. An expulsion order had also been issued.
0,Applicant Detention and Asylum Claims,201_chunk000,422,0.6339581,84,"The applicant claimed that after he sought to end a relationship with a woman in Albania in 2012, he was confronted by the woman's brothers who threatened, beat and tortured him, and murdered his father. He moved to Ireland in July 2013 and applied for asylum in April 2014, the application was rejected. An appeal to the tribunal was also rejected in May 2016."
0,Applicant Detention and Asylum Claims,1010_chunk001,210,0.6336042,85,"Under the Dublin III proceedings, the applicant was interviewed and stated that he had left Libya because of the war and..."
0,Applicant Detention and Asylum Claims,954_chunk000,286,0.6333424,86,The applicants were an Albanian mother and her two daughters whose applications for asylum were refused by the Refugee Applications Commissioner.
0,Applicant Detention and Asylum Claims,3137_chunk000,100,0.63316023,87,"The applicant, Colombian national, applied for international protection on 4 September 2019 and he was informed on the same day of his rights in the asylum procedure, including the right to free legal aid from the state in case he lacked sufficient financial resources. The applicant was handed over a form where he could tick the services he requires."
0,Applicant Detention and Asylum Claims,634_chunk001,300,0.6328081,88,"The Ministry of Labour, Migration and Social Security had withdrawn access to the reception system for the applicant on the ground that he had renounced the right to reception by leaving the country. The applicant, who was living in a shelter for homeless..."
0,Applicant Detention and Asylum Claims,121_chunk000,526,0.63264215,89,"The applicant, single woman, lived with her brother and his family (spouse and children) in Pakistan and ran away from the country because of his political problems."
0,Applicant Detention and Asylum Claims,564_chunk000,353,0.6322026,90,"By decision of 13 July 2016, the State Secretary declared an application from the foreign national to grant him a temporary asylum residence permit inadmissible."
0,Applicant Detention and Asylum Claims,931_chunk001,241,0.63142884,91,The appellant had been granted subsidiary protection status in Denmark in 2015. The individual's family was granted asylum in...
0,Applicant Detention and Asylum Claims,1090_chunk001,233,0.6299217,92,"The applicant, who subsequently traveled to Germany, made a further request for international protection after returning to Austria on 15 January..."
0,Applicant Detention and Asylum Claims,3268_chunk000,80,0.6297305,93,"The applicant, an Iraqi national, requested international protection in Austria. On 14 May 2022, the Federal Office for Immigration and Asylum (Bundesamt für Fremdenwesen und Asyl‚ BFA) dismissed the request as inadmissible, considering that Lithuania was the responsible Member State to examine the application in accordance with Article 18(1)(b) of the Dublin III Regulation."
0,Applicant Detention and Asylum Claims,2506_chunk000,112,0.6293521,94,"The applicant, A, Ethiopian national, requested residence permit on the basis of family reunification with his cohabitation spouse B, who had a permanent residence permit issued on individual reasons. The FIS rejected the request by decision of 2 May 2019 and ordered the repatriation of A, considering that he did not meet the requirements as he did not present a valid travel document."
0,Applicant Detention and Asylum Claims,56_chunk001,491,0.62900066,95,"The applicants claimed asylum in Ireland on 16 December 2014, and completed their asylum application questionnaires on 26 December 2014. An information request by the Office of the Refugee Applications..."
0,Applicant Detention and Asylum Claims,3240_chunk001,99,0.62889236,96,"- the State Secretariat for Migration (SEM) and the Federal Administrative Court (TAF), in both first and second instance procedures, have based their decisions to reject the application for international protection on claims that the applicant's testimony lacked credibility and that the authenticity of the documents he presented was..."
0,Applicant Detention and Asylum Claims,49_chunk001,479,0.6287664,97,"The applicant was therefore detained for the purpose of her removal by the Police of the Czech Republic under the provisions of the Act on the Residence of Foreigners implementing Art. 15 of the Returns Directive. In the detention, the applicant lodged an application for..."
0,Applicant Detention and Asylum Claims,136_chunk000,549,0.62836766,98,"The applicant was a Ghanaian national who applied for refugee status in 2010, which was refused following a decision of the Refugee Appeal Tribunal in January 2011. She applied for subsidiary protection on 8 October 2013."
0,Applicant Detention and Asylum Claims,55_chunk000,538,0.62793195,99,The applicant was a Nigerian national who was born in May 1991. She arrived in the State on 9 January 2007 when she was 15 years old and applied for asylum. The applicant claimed to have been threatened with forced marriage and attempted rape. She said she was given assistance by the African Refugee Foundation (“AREF”) before ultimately leaving Nigeria.
1,"Emigration, Asylum, And 2019 Report",992_chunk000,258,0.71140397,0,According to the national contribution to the EMN Report on Migration and Asylum 2019:
1,"Emigration, Asylum, And 2019 Report",991_chunk000,262,0.71140397,1,According to the national contribution to the EMN Report on Migration and Asylum 2019:
1,"Emigration, Asylum, And 2019 Report",993_chunk000,252,0.71140397,2,According to the national contribution to the EMN Report on Migration and Asylum 2019:
1,"Emigration, Asylum, And 2019 Report",988_chunk000,268,0.6970986,3,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:
1,"Emigration, Asylum, And 2019 Report",989_chunk000,270,0.6970986,4,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:
1,"Emigration, Asylum, And 2019 Report",984_chunk000,289,0.6970986,5,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:
1,"Emigration, Asylum, And 2019 Report",994_chunk000,242,0.6970986,6,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:
1,"Emigration, Asylum, And 2019 Report",972_chunk000,192,0.6970986,7,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:
1,"Emigration, Asylum, And 2019 Report",990_chunk000,272,0.6970986,8,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:
1,"Emigration, Asylum, And 2019 Report",985_chunk000,284,0.6970986,9,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:
1,"Emigration, Asylum, And 2019 Report",986_chunk000,280,0.6970986,10,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:
1,"Emigration, Asylum, And 2019 Report",987_chunk000,282,0.6970986,11,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:
1,"Emigration, Asylum, And 2019 Report",983_chunk000,216,0.6970986,12,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:
1,"Emigration, Asylum, And 2019 Report",979_chunk000,184,0.6970986,13,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:
1,"Emigration, Asylum, And 2019 Report",998_chunk000,218,0.6970986,14,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:
1,"Emigration, Asylum, And 2019 Report",997_chunk000,186,0.6970986,15,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:
1,"Emigration, Asylum, And 2019 Report",995_chunk000,238,0.6970986,16,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:
1,"Emigration, Asylum, And 2019 Report",961_chunk000,197,0.68753415,17,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019 (information provided by MO MoI SR):
1,"Emigration, Asylum, And 2019 Report",974_chunk000,180,0.6804786,18,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019 (information provided by the MO MoI SR):
1,"Emigration, Asylum, And 2019 Report",970_chunk000,169,0.6804786,19,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019 (information provided by the MO MoI SR):
1,"Emigration, Asylum, And 2019 Report",967_chunk000,211,0.67934597,20,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019 (information provided by MO MoI SR):
1,"Emigration, Asylum, And 2019 Report",964_chunk000,220,0.67934597,21,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019 (information provided by MO MoI SR):
1,"Emigration, Asylum, And 2019 Report",976_chunk000,182,0.6749407,22,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019 (information provided by the MO MoI of SR):
1,"Emigration, Asylum, And 2019 Report",978_chunk000,207,0.6749407,23,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019 (information provided by the MO MoI of SR):
1,"Emigration, Asylum, And 2019 Report",148_chunk000,523,0.6485086,24,The case concerns “sur place” asylum claims.
1,"Emigration, Asylum, And 2019 Report",951_chunk000,188,0.62969196,25,The case concerns the risk situation in case of return to the country of origin as well as fear of persecution by the Taliban forces.
1,"Emigration, Asylum, And 2019 Report",5761_chunk001,11,0.6291392,26,"On 7 November 2023, the State Secretariat for Migration (SEM) rejected their asylum application and ordered their transfer to Romania. By separate decision, also dated 7 November 2023, the SEM rejected the..."
