docno,text
4997_chunk000,"The applicants were a married couple and their child, of Armenian ethnicity, originating from the autonomous region of Nagorno-Karabakh. On 31 August 2021 they applied for international protection in Germany. In support of their application they claimed that the husband (applicant 1) had been drafted to the army in Nagorno-Karabakh after the outbreak of the war in September 2020."
4997_chunk001,"After his wife (applicant 2) moved to Yerevan (Armenia), he decided to leave the army..."
4998_chunk000,"The applicant is a national of Iran. On 27 December 2023, he requested international protection in Luxembourg. In support of his application, he claimed he feared persecution, inhumane and degrading treatment or even the death penalty because of his homosexuality, his opposition to the Iranian government and his support to the “organisation of the Mujahedin of the Iranian People”."
4998_chunk001,The Ministry for Home Affairs...
4992_chunk000,"The applicant is a national of Russia. In December 2023, he travelled to Czechia after receiving a Schengen tourist visa at the Hungarian embassy in Russia. On 24 December 2023, he requested international protection in Czechia."
4992_chunk001,"In support of his application, the applicant claimed that he feared persecution in Russia due to his previous participation in demonstrations against the war in Ukraine and his support to the opposition."
4962_chunk000,"On 17 March 2021, the applicant applied for recognition of statelessness. In support of her application, she claimed that she was a Latvian non-citizen, which represents a category of people who lived in Latvia when it was still a part of the Soviet Union and then remained there after 1991 without acquiring Latvian citizenship."
4962_chunk001,"On 19 July 2022, the Ministry of the Interior denied the request for statelessness. The applicant..."
4828_chunk000,"A Burundian national belonging to the Tutsi community applied for asylum on 18 March 2022. He fled Burundi in 2015 because he feared persecution based on his work as an independent consultant and supporter/translator for journalists. Before arriving in the Netherlands, the applicant resided in Rwanda and Kenya. However, he did not feel safe in either country and feared refoulement to Burundi."
4828_chunk001,"On 1 August 2023, the Minister for Asylum and Migration declared..."
4729_chunk000,"A national of Tajikistan from the Pamiri ethnic group requested international protection in Luxembourg on 16 January 2020, claiming a risk of persecution due to his political activities related to revealing unlawful practices and abuses of power within the State."
4729_chunk001,"By decision of 23 December 2021, his request was rejected as unfounded on the ground that his statements lacked credibility and was ordered to leave the territory within 30 days. He appealed the decision, and the appeal was dismissed..."
4730_chunk000,"A national of Guinea requested international protection in Luxembourg on 31 May 2022, relying on his political activism, and in particular on his participation in various demonstrations severely repressed by the political power in place, which led to him being imprisoned and tortured by the Guinean authorities."
4730_chunk001,"By decision of 8 December 2022, his request was rejected as unfounded and was ordered to leave the territory within 30 days. He appealed the decision, and the appeal was dismissed by..."
4728_chunk000,"A national of Belarus requested international protection in Luxembourg on 7 February 2020. By decision of 27 September 2019, her request was rejected as unfounded and she was ordered to leave the territory within 30 days. She appealed the decision, and her appeal was dismissed by final decision of the Administrative Court on 28 June 2022."
4728_chunk001,"On 20 February 2024, the applicant lodged a second application for international protection with the Ministry and on the same day she was heard by..."
4709_chunk000,"A Syrian national requested international protection in Germany, alleging a well-founded fear of persecution in his country of origin due to the ongoing civil war and a risk of forced conscription."
4709_chunk001,"By decision of 16 August 2017, the Federal Office for Migration and Refugees (BAMF) granted subsidiary protection to the applicant, and also to his wife and their four children, noting the serious risks posed by the civil war throughout all regions of Syria. However, it..."
4960_chunk000,The applicant entered the Republic of Lithuania on 12 November 2021 via Riga International Airport and was issued a temporary residence permit valid until 11 August 2025.
4960_chunk001,"In a letter provided to the Migration Department of the Ministry of the Interior on 30 October 2023, the State Security Department of Lithuania established that the applicant was a member of a radical Islamist organisation whose ideology was contrary to the country's democratic principles and..."
4231_chunk000,"The case concerned the question whether the State Secretary had correctly established the date from which the applicant benefits of asylum, how to establish the date of application."
4231_chunk001,"In fact, the State Secretary rejected as inadmissible the first asylum application and did not process it on the merits because it determined that Germany was the Member State responsible to process it, according to the Dublin III Regulation. Since the time limit to transfer the applicant to Germany..."
4229_chunk000,The Higher Administrative Court of Saxony ruled on 12 January 2024 that a 37 year-old Russian national from Chechnya would not face conscription for military service as he is not a reservist (he was not a member of the Russian armed forces before his departure) and had already exceeded the age limit of 30 years for compulsory military service.
4229_chunk001,"The court held that only reservists, professional soldiers and volunteers would face conscription into the military. Moreover, the court noted..."
4036_chunk000,The case concerned an application for asylum submitted by an applicant from Iraq and for which the Finnish Immigration Service considered that he had a well-founded fear of persecution based on religious grounds but excluded him from protection for alleged commission of a serious non-political crime.
4036_chunk001,The Supreme Administrative Corut had to determine whether the administrative court could have assessed the application of the exclusion clause in the case without holding an oral...
4232_chunk000,"The Justice of the Peace of Naples ruled on the right to stay of a national from Peru, who lacked a legal basis for a regular stay in Italy until the application for asylum has been formalised."
4232_chunk001,"The Public Prosecutor brought an action against the applicant before the Justice of Peace of Naples for the offence provided by Legislative Decree No 286/1998, on grounds that the applicant entered and remained in the territory of the State in breach of the provisions concerning immigration rules and..."
4233_chunk000,"The case concerned an applicant from Iraq, D.S., who was residing in Samos Greece and complained of the living conditions during the administrative detention in the police office of Sidirokastro, the PROKEKA (detention center for foreigners pending expulsion) in Tavros and the Samos camp, as well as for an alleged lack of an effective remedy to contest the abovementioned."
4233_chunk001,The applicant complained of the legality of the administrative detention and of the procedural issues related to this...
4235_chunk000,"The case concerned two Iranian applicant, a father and his minor child, who entered the Röszke transit zone and applied for asylum on 5 December 2018. The asylum authority rejected the application as inadmissible and considered that Serbia was a safe third country where the applicants should have requested asylum. The decision was confirmed in court."
4235_chunk001,"Consequently, the applicants were kept in the Röszke transit zone pending their return to Serbia and the father did not receive food..."
3955_chunk000,The applicant E.A. originally comes from a farmer family in the Edo state in Nigeria and moved to live with her uncle when she was 16. The uncle threatened and sexually abused her. She became pregnant and had a forced abortion before fleeing her uncle´s place and living on the streets.
3955_chunk001,A woman T. offered to help and organise her travel to Europe for which in return E.A. was asked to pay once she reached Europe. E.A. was first smuggled to Libya in 2016 and then sold twice to organised...
4037_chunk000,"The case concerned the cassation appeal submitted by H.A., Syrian national, against the negative decision on his asylum application issued by the State Agency for Refugees."
4037_chunk001,"The application was rejected based on a written opinion of the State Agency for National Security (SANS), which concluded that the applicant constitutes a threat to national security and should not be granted protection in Bulgaria. The Administrative Court of Sofia city validated the negative decision, and the applicant..."
3960_chunk000,"The applicant, an Uzbek and Tajik national, requested international protection in Czechia on 30 September 2020, after he was arrested following a vehicle check when it was found that he was the subject of an arrest warrant in Uzbekistan. The Ministry of the Interior rejected the request by decision of 30 May 2023."
3960_chunk001,The applicant contested this decision first by appeal before the Municipal Court of Prague and subsequently by cassation complaint before the Supreme Administrative...
4184_chunk000,A third country national arrived at Schiphol Airport on 28 March 2023 and she submitted an asylum application the next day.
4184_chunk001,"The State Secretary for Justice and Security postponed the decision on her entry to the Netherlands and by decision of 29 March 2023, the State Secretary imposed a custodial measure for the duration of the processing of her asylum application in the border procedure (Article 6, third paragraph, of the Aliens Act 2000). The applicant..."
3964_chunk000,"The case concerned a family from Azerbaijan who unsuccessfully applied for international protection. In their subsequent application, they requested interpretation in Turkish language because of concerns that Azerbaijan interpreters may be in contact with the domestic authorities."
3964_chunk001,During the interview it was noted that the interpreter had to explain the questions multiple times and that even the interpreter admitted that his interpretation was not always accurate. Although the...
4164_chunk000,"VR arrived in Lithuania on 25 April 2022, with the assistance of Freedom House Foundation. He requested asylum in Lithuania after his visa for special humanitarian reasons had expired. In his asylum request, the applicant argued that he had a well-founded fear of being persecuted for his political beliefs."
4164_chunk001,The decision on his request for asylum was postponed by the Migration Department under the Ministry of the Interior until the third quarter of 2023. VR appealed against this written...
4019_chunk000,"The applicant is a girl born in Denmark to parents who are ethnically Somali and Sunni Muslims. The applicant's parents have referred to the fact that they, on the applicant's behalf, fear that the applicant will be at risk of being exposed to FGM/C if returned to Somalia."
4019_chunk001,"The applicant's parents have also referred to the fact that she and her siblings, as a result of their upbringing in Denmark have been westernized.

The Refugee Appeals Board noted about the risk of..."
3924_chunk000,The applicant contested a return decision issued on 21 December 2022 where the authorities ordered deportation to an unspecified country and requested also protection against refoulement based on Articles 2 and 3 of the ECHR.
3924_chunk001,"The applicant, a Palestinian national arrived in Cyprus via the occupied territories and was detained pursuant to the Aliens and Immigration Law and a deportation order was issued. He applied for asylum but was granted a supplementary protection status..."
3981_chunk000,"The case concerned an applicant from Belarus, a mother with her minor son who applied for asylum in Slovakia claiming a fear of persecution upon return to her home country due to opposition to the current regime. She claimed to have publicly and actively participated in anti-government protests following the 2020 presidential elections, within the territory of Slovakia."
3981_chunk001,"Furthermore, she added to have actively expressed her views as a public speaker on a stage during the demonstrations and to..."
4167_chunk000,"An applicant of Syrian nationality and Sunni Islamic religion requested international protection on 24 November 2021 in Austria. The Federal Office for Immigration and Asylum (BFA) did not grant him refugee status but subsidiary protection, a decision which he appealed to the Federal Administrative Court."
4167_chunk001,"The Court dismissed the appeal without an oral hearing considering that, although the applicant was still of military service age, there was no greater risk of..."
3957_chunk000,"An applicant from Transnistria, with Moldovan nationality, who applied for international protection in Czechia, stated at the end of the interview, when asked by the case officer, that he would waive the right to comment on the country of origin (COI) documents which would be used in the case file as evidence, noting that he knew the situation in Moldova and Transnistria."
3957_chunk001,"The ministry collected ten documents with COI, which were not commented on by the applicant. By decision of 3 January..."
4150_chunk000,The case concerned an applicant from Morocco who alleged to have fled from his country due to fear for his life. He arrived in Milan and tried since December 2022 to access the Milan Police Headquarters in order to formalise his application for international protection.
4150_chunk001,"In January 2023, he sought support from the association NAGA (Association of Voluntary Assistance to Health and the Rights of Foreigners and Nomads), to which he gave mandate to the association to express the wish of the..."
3313_chunk000,The case concerned a second appeal submitted by the BAMF after the Regional Administrative Court of Hannover dismissed a Dublin transfer to Slovenia on 21 December 2022.
3313_chunk001,"The Regional Administrative Court of Hannover, upholding the applicants submissions, had decided that the Dublin transfer would put the applicant at risk of indirect refoulment and treatment contrary to Article 3 ECHR and 4 EU Charter due to pushbacks by Slovenian authorities.

The Higher Administrative Court of..."
3963_chunk000,"On 7 January 2021, the applicant submitted a subsequent application for international protection, stating that his activities in the country of origin were related to religion, not politics, as he had converted to Christianity in Iran. As a result of this he had problems with the police and with his family, even though he was not baptized."
3963_chunk001,"He left Iran for Turkey in 2015 (where he applied for asylum) and from there he travelled to Czechia in 2019. In support of his request, the..."
3968_chunk000,The case concerned an applicant from Pakistan who applied unsuccessfully for asylum in 2012 and return was ordered. He applied for reconsideration which was assessed as subsequent application which was rejected and again an expulsion order was adopted. An appeal was again rejected.
3968_chunk001,"After other unsuccessful applications, the SEM allowed the reconsideration of the case in 2018 and the applicant was allowed to submit evidence and replies. His application was rejected, and he appealed..."
3276_chunk000,"On 12 January 2023, the Rome Tribunal confirmed its previous case law of 13 October 2022, and annulled a Dublin transfer to Romania according to Article 3(2) of the Dublin Regulation and to Article 4 of the EU Charter of Fundamental Rights of the European Union, considering that there are systemic deficiencies in the asylum system."
3276_chunk001,The court noted that Romania was already unprepared to accommodate asylum applicants before the Ukrainian crisis and that with the high influx of persons...
3406_chunk000,"The applicants, Afghan nationals including pregnant women with minor children and family members living in Germany, contested a Dublin transfer to Croatia. They entered Germany on 18 June 2022 and were apprehended during the entry check of a train traveling from Zurich to Munich."
3406_chunk001,"The Federal Office for Migration and Refugees (BAMF) confirmed a Eurodac hit with regard to Croatia, where the applicants also applied for asylum.

The applicants argued that in Croatia they were receiving..."
3268_chunk000,"The applicant, an Iraqi national, requested international protection in Austria. On 14 May 2022, the Federal Office for Immigration and Asylum (Bundesamt für Fremdenwesen und Asyl‚ BFA) dismissed the request as inadmissible, considering that Lithuania was the responsible Member State to examine the application in accordance with Article 18(1)(b) of the Dublin III Regulation."
3268_chunk001,The applicant argued that he had a family life with a wife and minor daughter who were provided...
3168_chunk000,"The applicants, a Kazakh woman and her two children, born in 2009 and 2011, applied for international protection in Austria in 2012. Their applications were rejected and their deportation to Kazakhstan was ordered by the Federal Office for Foreign Affairs and Asylum, who, in weighting public and private interests, considered that the mother's integration in Austria was insufficient."
3168_chunk001,"In the first appeal procedure, the Administrative Court noted that the balance of interests shall account..."
3166_chunk000,"In 2019, the Government Delegate in Madrid ordered the expulsion and a five-year prohibition of entry into the Schengen area for the applicant, a Ukrainian national who was convicted and imprisoned several times for theft and robbery. The applicant appealed against this decision but his request was rejected both in first and in second instance."
3166_chunk001,"Before the Supreme Court, the applicant's appeal was grounded on Council Implementation Decision (EU) 2022/382 of 4 March 2022 and associated..."
3207_chunk000,"The applicant, Afghan national, applied for international protection and received a negative decision because the authorities considered that he did not fulfil the eligibility criteria and that the fact of leaving the country due to fear of an unstable political and security situation after the Taliban took overpower in August 2021."
3207_chunk001,"The determining authority considered that there is no risk for the applicant as his father died in 2017, he was a former professional soldier, and his mother..."
3250_chunk000,"In this judgment, concerning Iraqi nationals against whom a two year entry ban was imposed, the Constitutional Court overturned Art. 53 para 2 subpar. 6 of the Aliens Police Act on the grounds of a violation of the requirement of objectivity."
3250_chunk001,"Thus, the repealed provision, which states that the absence of proof of possession of the means to support oneself constitutes a threat to public order or safety and is a factor to be taken into account when assessing the duration of an entry ban of up..."
3965_chunk000,"The applicants submitted applications for temporary protection in April 2022 and at the interview they mentioned to have moved to Canada in 2012 and lived there until 2020. They acquired Canadian citizenship around 2018. The children were both born in Canada, but probably also have Ukrainian citizenship."
3965_chunk001,"They returned to Ukraine in 2020 and are no longer willing to return there for multiple reasons, including that the COVID-19 vaccination is compulsory there and they oppose to..."
3427_chunk000,"The applicant, an Iranian national, of Azerbaijani origin and Christian, entered Germany on 23 January 2016. On 11 May 2016, the person applied for international protection with the Federal Office for Migration and Refugees (BAMF). BAMF rejected the application by decision of 30 January 2017 and did not provide any prohibition to deportation."
3427_chunk001,The applicant filed an appeal on 13 February 2017 before the Bavarian Administrative Court in Bayreuth which was rejected with the judgment of 7...
3265_chunk000,"The applicants, a family with children, nationals of Georgia, applied for international protection in Spain on 3 July 2018, stating that the husband had a traffic accident with an employee of a hotel near his home, that he received compensation from the hotel, and in turn, the hotel claimed the money from the employee for being the culprit."
3265_chunk001,"The husband indicated that the employee appeared at the applicants' home and claimed the amount of compensation, harassed his wife and threatened..."
3230_chunk000,"The applicant, an Afghan national, was denied subsidiary protection on exclusion grounds, namely that there were serious reasons for considering that he had committed a serious crime. The decision was upheld by the National Court of Asylum (CNDA), and the applicant subsequently appealed to the Council of State."
3230_chunk001,"The Council of State noted that, according to the CNDA's findings, between 2006 and 2011, when he was aged between 16 and 21, the applicant had cultivated cannabis or..."
3240_chunk000,The UN Committee Against Torture ruled that Switzerland has violated its procedural obligations under article 3 of the Convention Against Torture:
3240_chunk001,"- the State Secretariat for Migration (SEM) and the Federal Administrative Court (TAF), in both first and second instance procedures, have based their decisions to reject the application for international protection on claims that the applicant's testimony lacked credibility and that the authenticity of the documents he presented was..."
3137_chunk000,"The applicant, Colombian national, applied for international protection on 4 September 2019 and he was informed on the same day of his rights in the asylum procedure, including the right to free legal aid from the state in case he lacked sufficient financial resources. The applicant was handed over a form where he could tick the services he requires."
3137_chunk001,"He requested an interpreter, but the form was left blank on the part of lawyer assistance.

The application for asylum was rejected as..."
3270_chunk000,"The applicant, whose Dublin transfer time limit was extended, appealed the decision of 8 November 2021 of the Police Prefect which refused the registration of the request for international protection in the regular procedure."
3270_chunk001,The Council of State held that the appeal against a refusal to examine the request for international protection in the regular procedure is admissible only if the person concerned is able to establish that the transfer period has expired and the transfer can no...
3275_chunk000,"The applicant, a Syrian national, applied for international protection on 2 October 2021 in Austria. As he had already applied for international protection in Malta in September 2021, the Federal Office for Immigration and Asylum (BFA) requested the Maltese authorities to take back the applicant, which Malta accepted."
3275_chunk001,"By decision of 25 November 2021, the BFA rejected the application for international protection as inadmissible and ordered the applicant's removal to Malta. The applicant..."
3315_chunk000,"The case concerned a request for urgent interim measures submitted by an Afghan national against a Dublin transfer to Austria. The Dublin transfer was accepted by Austria, but it has been annulled in court by decision of 20 January 2021, when the judicial authority decided that Italy had the competence to process the asylum application."
3315_chunk001,"In that decision, the court also urged the competent authority to close the proceedings for determining the responsible member State and to start processing..."
3409_chunk000,"The applicant contested a Dublin transfer to Lithuania, which was determined by the Federal Office for Migration and Refugees (BAMF) as the state responsible for the examination of the application based on Article 18(1)(b) of the Dublin III Regulation, as the applicant, according to documents submitted, applied for asylum in Lithuania."
3409_chunk001,The Regional Administrative Court of Düsseldorf rejected the appeal holding that there were no impediments to transferring the applicant to...
3284_chunk000,The case concerned an appeal against the decision of the Administrative Court by which the court urged the Delegacion del Gobierno of Ceuta to take all the necessary measures for the cessation of the proceedings and the immediate transfer to Spain to all unaccompanied minors previously returned to Morocco.
3284_chunk001,"In the appealed decision, the Administrative Court found the returns of minors to Morocco violated articles 3, 13 and 5 of the ECHR and corresponding articles 7, 10, 2, 14, 9 and..."
2506_chunk000,"The applicant, A, Ethiopian national, requested residence permit on the basis of family reunification with his cohabitation spouse B, who had a permanent residence permit issued on individual reasons. The FIS rejected the request by decision of 2 May 2019 and ordered the repatriation of A, considering that he did not meet the requirements as he did not present a valid travel document."
2506_chunk001,The applicant also had a child and invoked the protection of family life and best interests of the child as a...
3239_chunk000,"The applicant was refused refugee protection and granted subsidiary protection by national authorities. He appealed against this decision before the Municipal Court, requesting the annulment of the part of the decision rejecting his request for refugee protection."
3239_chunk001,"The Municipal Court stated that the authorities' decision to reject his application for refugee protection was unlawful and annulled the decision in its entirety, claiming that annulling only part of it would lead to an..."
3272_chunk000,The Bavarian Higher Administrative Court decided on a case regarding the criminal liability of religious orders when providing support for an unauthorised stay by granting church asylum to individuals under the Dublin procedure.
3272_chunk001,"The case concerned the accused monk B., who granted church asylum to A., from the Gaza strip, on 25 August 2020 and provided him accommodation and care with the knowledge that A. was a rejected asylum applicant.

A. applied for asylum on 22 April..."
3277_chunk000,The applicant is an Algerian national who applied for international protection in the Netherlands and the State Secretary decided on 30 November 2021 not to process the application in the regular procedure. The applicant claimed that during the registration phase he was not informed of the possibility to apply for legal assistance.
3277_chunk001,"When the asylum procedure starts, applicants are usually assigned a lawyer through the Legal Aid Board. The applicant claimed that he received the contested..."
3232_chunk000,The Council of State cancelled the new article L. 554-1 of the entry and residence code for foreigners (CESEDA) for restricting access to the labour market for Dublin applicants.
3232_chunk001,"This provision authorised access to the labour market to applicants who did not receive a decision from OFPRA within six months from their application, due to circumstances beyond their control, excluding Dublin applicants awaiting for their transfer to the Member State responsible to examine their asylum..."
3286_chunk000,"The General Administration of the State brought an appeal on points of law against the judgment of 3 October 2019 delivered by the Second Section of the Administrative Chamber of the High Court of Justice of Andalusia, located in Málaga."
3286_chunk001,"The Supreme Court confirmed that the application for international protection implies the suspension of the removal procedure for irregular stay that could affect the applicant, until the Administration issues an initial decision..."
3434_chunk000,"The German Federal Administrative Court confirmed on 27 January 2022 the decision of the Higher Administrative Court of North Rhine Westphalia of July 2021, halting the Dublin transfer of a single man to Italy."
3434_chunk001,"The transfer was ruled to be unlawful due to the lack of accommodation in Italy, the fact that the person will not find a job within the foreseeable future that offers him an income sufficient to finance decent accommodation and living expenses, which would result..."
3231_chunk000,"In January 2022, the Cassation Court of France ruled that a bone examination was insufficient to confirm the applicant's majority. The court specified that, for such examinations to be considered conclusive, they should be corroborated by civil status records and social assessments."
3231_chunk001,"Finally, it stated that if bone examinations contravene such records and assessments, creating a doubt concerning the applicant's minority, then the applicant should be given the..."
3269_chunk000,"The applicant, a national of Somalia, applied for international protection in France on 18 December 2020 and he was placed under the Dublin procedure while a request was sent to Germany, considered the Member State responsible to examine the request for international protection. The applicant returned to Germany, and thereafter returned to France and asked for asylum a second time on 26 May 2021."
3269_chunk001,"After a new consultation of the Eurodac file, the German authorities were again seized with a..."
3321_chunk000,"The applicant applied for international protection in 2017, claiming that he had to flee Bangladesh after being subjected to ill-treatment from state authorities due to his belonging to the Rohingya ethnic group. The BFA rejected the applicant's request and issued a removal order against him. The applicant appealed against this decision."
3321_chunk001,"The Federal Administrative Court dismissed his appeal, arguing that his claim that he was abused and extorted by the police and had to flee Bangladesh..."
2507_chunk000,"The case concerned an Afghan applicant who contested an inadmissible decision based on Paragraph 29(1)(1)(a) of the AsylG because he had previously applied for asylum in Denmark. The Danish authorities agreed to a readmission on 9 November 2017, and the BAMF ordered the transfer and found no prohibition for the deportation."
2507_chunk001,"On 24 April 2018 the attempted transfer was unsuccessful as the applicant was not found in his room in the accommodation, but the transfer..."
2508_chunk000,"The applicant, national of Philippine, contested an inadmissibility decision issued by BAMF on 21 February 2018 on the basis of Paragraph 29(1)(1)(a) AsylG, because he has previously applied for international protection in France. It was decided that there are ni prohibitions to deportation and ordered a 9 months entry ban."
2508_chunk001,On 13 July 2018 the Federal Office and Foreigners Registration Office was informed that the applicant resided in a church asylum since 12 July 2018. By letter of...
2509_chunk000,"The applicant, Guinean national, contested the inadmissibility decision adopted based on Paragraph 29(1)(1)(a) of the AsylG, because he entered Germany and applied for international protection on 11 April 2018 but he had previously applied in Spain (Eurodac hit report). The BAMF also found no prohibition to deportation and issued a 6 months entry ban."
2509_chunk001,The applicant resided in a shared accommodation and the notification letter of the decision was received by him and also by his legal...
2510_chunk000,"The applicant, Guinea national, was rejected the application of asylum as inadmissible by decision of 7 March 2018 because he has already applied in Spain, according to a Eurodac hit report. The Spanish authorities agreed to the transfer on 6 March 2018 and the BAMF decision was adopted on 7 March 2018."
2510_chunk001,On 16 March 2018 the applicant contested the decision and requested an order for suspensive effect. The German authorities informed the Spanish authorities about the lodging of an appeal with...
2511_chunk000,"The Federal Administrative Court allowed an appeal on points of law in order to clarify the  requirements for the assessment of a 'strong presumption' (European Union, Court of Justice of the European Union [CJEU], EZ v Bundesrepublik Deutschland (Federal Republic of Germany), C-238/19, ECLI:EU:C:2020:945, 19 November 2020 - paragraph 57) for a link between the refusal of military service..."
2505_chunk000,"The applicant, national of Mali, applied for international protection in Germany but based on EURODAC findings his application was rejected as inadmissible as Italy was responsible to process his application."
2505_chunk001,"Upon appeal, the administrative court annulled the contested decision and stated that vulnerable Dublin returnees are entirely dependent on state support which is insufficient in terms of housing and minimum living standard, thus amounting to a risk of treatment contrary to the Article 4..."
2471_chunk000,"A national from Lithuania applied for international protection in Austria on 15 April 2019. The applicant claimed he was a lawyer and human rights activist who had defaced a plaque honouring a General who was responsible for the murder of 14,000 Jews, 22 of whom were related to him."
2471_chunk001,"The applicant stated that he was detained by the police for 54 hours where he was beaten and fed pork that he was unable to eat as he is Jewish. He was released and fined 33,000 euros to..."
1573_chunk000,"The applicants, nationals of Syria, are members of a family who arrived in Spain through the resettlement programme 2015 for refugees. By decisions of 4 October 2017 of the Deputy Secretary of the Interior, they were granted subsidiary protection. They appealed that decision arguing that they should be granted refugee status and not subsidiary protection."
1573_chunk001,The Chamber for Contentious Administrative Proceedings of the Audiencia Nacional (Fourth Chamber)...
1705_chunk000,"The applicants are stateless persons, who were born on the territory of the former Soviet Union and left the later before its dissolution, and none of the successor countries recognised them as their citizens. Following an expulsion order, they were included in the national list of undesirable persons."
1705_chunk001,"In September 2019 the applicants applied for the status of stateless persons under the Convention for the Status of Stateless Persons, and a..."
1647_chunk000,"MM and F, nationals of Pakistan, applied for international protection on 4 October 2015, but it was rejected  and the Federal Administrative Court confirmed it by decision of 22 October 2018, jointly with the issuance of a return order against the applicants. A subsequent application was submitted from detention centre by the second applicant, on 3 March 2020."
1647_chunk001,"On 18 March 2020, the Federal Office for Foreign Affairs and Asylum conducted the interview remotely, by video-conference..."
1648_chunk000,"The applicant applied for international protection on 13 January 2010, claiming to be a minor from Zimbabwe and by decision of 29 September 2010 the Federal Office for Asylum rejected the application as unfounded. Upon appeal, the Court of Asylum referred the matter back to the Federal Asylum Office for a new hearing and assessment."
1648_chunk001,"On 17 November 2011, the Federal Asylum Office rejected again the application, after having found also that the applicant was from Nigeria and ordered the return...."
933_chunk000,"The Division finds that the general safety situation in Afghanistan, particularly in Nangarhar and Ghazni, remains unabatedly alarming. In certain respects, the safety situation in Afghanistan has even worsened compared to June 2018, the end point of the reporting period dealt with in the earlier ruling of the Division of 1 October 2018. On the other hand, however, the..."
934_chunk000,"The Division is of the opinion that there are reasons to assume that the situation in Afghanistan for Hazara is now less safe than in the past. The information now available shows that, for all kinds of reasons, Hazara could have problems with different combating groups in Afghanistan."
934_chunk001,"This could be because a certain faith and therefore also a certain political affiliation is ascribed to them, but also for example because of a certain socio-economic position. According to..."
920_chunk000,"Between 26 July and 1 October 2015, 5 Afghan nationals applied for international protection in Norway, claiming to be 15-16 years old. After further assessments, which also included medical age examinations, the immigration authorities considered that they were all older than 18 years."
920_chunk001,"Consequently, their applications were rejected by the Norwegian Directorate of Immigration (UDI) and later confirmed on appeal before the Immigration Appeals Board (UNE). One of the..."
935_chunk000,"The woman, known as an LGBTI activist in Surinam, did not obtain an asylum residence permit from the Minister for Migration in March 2018. She had asked for the residence permit in the Netherlands because, in her own words, she runs a risk in Surinam because of her transsexuality. A previous appeal to the court against rejection of the permit failed, after which the woman appealed to the ABRvS."
935_chunk001,The woman experienced various...
980_chunk000,"According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:

In these judgments (no. 230.067 and no. 230.068) the Council states that the principle of ""family unity"" does not give rise to a right to..."
921_chunk000,"The case concerns the validity of the Immigration Board's decision on expulsion with two years of entry ban after serious violations of the Immigration Act. The question is whether the expulsion is disproportionate to the foreigner's children, cf. the Immigration Act section 70, Article 8 of the European Convention on Human Rights (ECHR) and Article 3 of the Convention on the Rights of the Child."
921_chunk001,"More analytically, a female asylum seeker had upon arrival to Norway..."
