qid,docid,docno,query,text,score,rank
0,225,942_chunk000,Applicant Detention and Asylum Claims,"The case concerns the possibility of detention when the asylum application is rejected but the time frame to submit an appeal has not expired. The judgments in Gnandi and the order in C., J. and S. do not envisage that the...",-0.0707351341843605,19
0,368,550_chunk001,Applicant Detention and Asylum Claims,"The Federal Administrative Court subsequently denied the complaint, whereupon the asylum seeker lodged a complaint against detention. The court proceedings dealing with the individual's detention addressed the question of...",-0.07123581320047379,20
0,491,56_chunk001,Applicant Detention and Asylum Claims,"The applicants claimed asylum in Ireland on 16 December 2014, and completed their asylum application questionnaires on 26 December 2014. An information request by the Office of the Refugee Applications...",-0.07254201918840408,21
0,539,55_chunk001,Applicant Detention and Asylum Claims,As part of her asylum claim the applicant submitted a refugee card and a letter from AREF to corroborate her account. The...,-0.07364509999752045,22
0,130,3321_chunk000,Applicant Detention and Asylum Claims,"The applicant applied for international protection in 2017, claiming that he had to flee Bangladesh after being subjected to ill-treatment from state authorities due to his belonging to the Rohingya ethnic group. The BFA rejected the applicant's request and issued a removal order against him. The applicant appealed against this decision.",-0.07642924040555954,23
0,428,200_chunk000,Applicant Detention and Asylum Claims,"The applicants, a woman and her three children, were nationals of Pakistan who applied for asylum in the State. They had lived in the UK with the first applicant's husband whom the first named applicant claimed had been violently abusive towards her and the children.",-0.07933119684457779,24
0,482,197_chunk000,Applicant Detention and Asylum Claims,"The applicants, a woman and her three children, were nationals of Pakistan who applied for asylum in the State. They had lived in the UK with the first applicant's husband whom the first named applicant claimed had been violently abusive towards her and the children.",-0.07933119684457779,25
0,62,3981_chunk000,Applicant Detention and Asylum Claims,"The case concerned an applicant from Belarus, a mother with her minor son who applied for asylum in Slovakia claiming a fear of persecution upon return to her home country due to opposition to the current regime. She claimed to have publicly and actively participated in anti-government protests following the 2020 presidential elections, within the territory of Slovakia.",-0.08649538457393646,26
0,521,24_chunk000,Applicant Detention and Asylum Claims,"On 30 June 2015, the Finnish Immigration Service rejected the application for an international protection and residence permit issued by Nigerian citizen A ('the appellant') and her minor children B and C. The applicants claimed threats due to the Ebola virus and the Boko Haram terrorist group. The applicant also claimed to be a victim of trafficking due to forced prostitution in Italy.",-0.09903742372989655,27
0,2,5443_chunk000,Applicant Detention and Asylum Claims,The Constitutional Court dismissed a complaint against the decision of the Federal Administrative Court concerning detention of a Syrian applicant pending return. It found that the lower court correctly assessed that the detention pending return and its extension were lawful.,-0.12179144471883774,28
0,12,4999_chunk000,Applicant Detention and Asylum Claims,"The applicant is a national from Ethiopia. On 26 January 2024, the applicant requested international protection in Luxembourg. In support of her application, she claimed that she feared persecution and rape on account of her membership of the Ahmara ethnic group.",-0.14068511128425598,29
0,119,3277_chunk001,Applicant Detention and Asylum Claims,"When the asylum procedure starts, applicants are usually assigned a lawyer through the Legal Aid Board. The applicant claimed that he received the contested...",-0.19336473941802979,30
0,386,506_chunk000,Applicant Detention and Asylum Claims,"The applicant claimed to be registered with UNRWA, to have received help from relatives in Syria too. He claimed that the assistance he has previously received from UNRWA has ceased because he was forced out of Syria because of the general situation in the country.",-0.21398788690567017,31
0,438,88_chunk000,Applicant Detention and Asylum Claims,"The Court of Appeal confirmed that the First-tier Tribunal had been entitled to refuse an asylum seeker's appeal against the refusal of her claims for asylum and humanitarian protection. She had failed to establish a well-founded fear of persecution if returned to Iran on the basis of her political activities, conversion to Christianity, and the risk of domestic violence from her husband...",-0.2260223627090454,32
0,523,148_chunk000,Applicant Detention and Asylum Claims,The case concerns “sur place” asylum claims.,-0.2654268741607666,33
0,264,923_chunk000,Applicant Detention and Asylum Claims,An applicant must submit a request for protection with which he asserts target-country-related dangers that are objectively suitable in their nature for recognition as a person entitled to asylum or an award for international protection (material asylum request within the meaning of Section 13 (1) Asylum Act) refer the asylum procedure to the Federal Office.,-0.2898899018764496,34
0,43,4233_chunk001,Applicant Detention and Asylum Claims,The applicant complained of the legality of the administrative detention and of the procedural issues related to this...,-0.35394129157066345,35
0,256,1011_chunk000,Applicant Detention and Asylum Claims,"The case concerns a challenge to detention under the recast Reception Conditions Directive. The applicant requested international protection after being found illegally working in the Czech Republic and using fake documents to obtain such work.

...",-0.5127334594726562,36
0,540,173_chunk000,Applicant Detention and Asylum Claims,"A Sri Lankan national's appeal against the refusal of his asylum claim based on his membership of proscribed groups and participation in political demonstrations was allowed. The First-tier Tribunal and Upper Tribunal had not been referred to 2014 Home Office policy guidance entitled ""Tamil Separatism"" which was material to the decision and might realistically have affected the outcome....",-0.5919843912124634,37
0,460,178_chunk000,Applicant Detention and Asylum Claims,"The Court gave guidance on the general approach to be adopted in law and practice by the First-tier Tribunal and Upper Tribunal where claims for asylum were made by children, young people, and other incapacitated or vulnerable persons whose ability to participate effectively in proceedings might be limited.",-0.6933797001838684,38
0,312,366_chunk000,Applicant Detention and Asylum Claims,"In this case the applicant (Nigeria) arrived to Ireland in October 2016. He claimed to be bisexual and that he was the subject of an attempt to force him to join a cult in Nigeria. On May 2017, the International Protection Office informed him the refusal of his application for protection on the ground of lack of credibility. He appealed the decision.",-0.9362102150917053,39
0,149,1647_chunk000,Applicant Detention and Asylum Claims,"MM and F, nationals of Pakistan, applied for international protection on 4 October 2015, but it was rejected  and the Federal Administrative Court confirmed it by decision of 22 October 2018, jointly with the issuance of a return order against the applicants. A subsequent application was submitted from detention centre by the second applicant, on 3 March 2020.",-1.1536040306091309,40
0,178,913_chunk000,Applicant Detention and Asylum Claims,The case concerns the calculation of the maximum time that a person may spend in detention for the purpose of removal. In the present case the applicant had been in detention for more than twenty months.,-1.4902710914611816,41
0,179,913_chunk001,Applicant Detention and Asylum Claims,"The Swedish Migration Court of Appeal referred to Article 15 (5) and (6) of the Return Directive as well as to the relevant provisions of the Swedish law and it held that within the same enforcement of a removal decision, an applicant can be held in detention for a maximum of...",-1.5626261234283447,42
0,454,23_chunk000,Applicant Detention and Asylum Claims,"The Finnish Immigration Service had rejected A 's application for asylum and residence permit on the basis of the conflict between A and his father' s claims for asylum. Although the father's report has thus affected A's case, he or she has not been given the opportunity to give an explanation of the report and contradictions that it has in relation to his or her report.",-1.8775966167449951,43
0,168,981_chunk001,Applicant Detention and Asylum Claims,"Upon appeal, the applicant argued that he is a Palestinian refugee, and that he is eligible of UNRWA protection despite not having been registered with and not having received material assistance from UNRWA or lived in its area of operation. The applicant claimed to fall within the personal scope of Article 1D...",-1.9497005939483643,44
0,407,36_chunk001,Applicant Detention and Asylum Claims,"This appeal is concerned with the proposal of the Secretary of State to remove the appellants from the UK to Bulgaria under the Dublin III Regulation arrangements (Regulation 604/2013), on grounds that they entered into the territory of the European Union in Bulgaria and may be sent back there to make their asylum claims. The Court dismissed...",-2.3836703300476074,45
0,14,4997_chunk000,Applicant Detention and Asylum Claims,"The applicants were a married couple and their child, of Armenian ethnicity, originating from the autonomous region of Nagorno-Karabakh. On 31 August 2021 they applied for international protection in Germany. In support of their application they claimed that the husband (applicant 1) had been drafted to the army in Nagorno-Karabakh after the outbreak of the war in September 2020.",-2.413376569747925,46
0,434,170_chunk000,Applicant Detention and Asylum Claims,Administrative Court Düsseldorf The plaintiff is an asylum seeker and claims to be from Bangladesh.,-2.9320640563964844,47
0,504,169_chunk000,Applicant Detention and Asylum Claims,"The Court ruled on the guidance set out in HJ (Iran) v Secretary of State for the Home Department [2010] UKSC 31 on the approach to sexual orientation asylum claims, including consideration of whether a gay applicant for international protection would conceal their sexual orientation upon return to their country of origin and the reasons for concealment, was compatible with Directive 2004/83...",-4.821048736572266,48
0,99,3240_chunk001,Applicant Detention and Asylum Claims,"- the State Secretariat for Migration (SEM) and the Federal Administrative Court (TAF), in both first and second instance procedures, have based their decisions to reject the application for international protection on claims that the applicant's testimony lacked credibility and that the authenticity of the documents he presented was...",-5.6050615310668945,49
0,221,964_chunk001,Applicant Detention and Asylum Claims,"The line of reasoning of the defendant who claims that the plaintiff had a legal representative present during the hearing who, unlike the plaintiff, is well versed in the law, could not hold, since the examination of the asylum seeker in the court proceedings represents one of the most important...",-5.663334846496582,50
0,143,2471_chunk000,Applicant Detention and Asylum Claims,"A national from Lithuania applied for international protection in Austria on 15 April 2019. The applicant claimed he was a lawyer and human rights activist who had defaced a plaque honouring a General who was responsible for the murder of 14,000 Jews, 22 of whom were related to him.",-5.8104023933410645,51
0,118,3277_chunk000,Applicant Detention and Asylum Claims,The applicant is an Algerian national who applied for international protection in the Netherlands and the State Secretary decided on 30 November 2021 not to process the application in the regular procedure. The applicant claimed that during the registration phase he was not informed of the possibility to apply for legal assistance.,-6.1248345375061035,52
0,345,608_chunk001,Applicant Detention and Asylum Claims,"The judge at first instance found that the detention was based on an incorrect legal basis, and the Secretary of State appealed to the Council of State. On 31 July, the district court of the Hague, sitting in...",-6.409039497375488,53
0,117,3272_chunk001,Applicant Detention and Asylum Claims,"The case concerned the accused monk B., who granted church asylum to A., from the Gaza strip, on 25 August 2020 and provided him accommodation and care with the knowledge that A. was a rejected asylum applicant.

A. applied for asylum on 22 April...",-6.794004917144775,54
0,131,3321_chunk001,Applicant Detention and Asylum Claims,"The Federal Administrative Court dismissed his appeal, arguing that his claim that he was abused and extorted by the police and had to flee Bangladesh...",-6.9109416007995605,55
0,585,142_chunk001,Applicant Detention and Asylum Claims,The individual facts of each case should be considered to determine whether detention will cause a particular individual in his particular circumstances to suffer treatment contrary to Article 3. In view of...,-7.551882266998291,56
0,385,510_chunk000,Applicant Detention and Asylum Claims,"The Court of Sessions found there was no unlawful discrimination arising from a reduction in the amount of asylum support payable to asylum seekers with one or more dependent children, following a government review. ...",-7.867151260375977,57
0,252,993_chunk000,Applicant Detention and Asylum Claims,According to the national contribution to the EMN Report on Migration and Asylum 2019:,-8.93065357208252,58
0,258,992_chunk000,Applicant Detention and Asylum Claims,According to the national contribution to the EMN Report on Migration and Asylum 2019:,-8.93065357208252,59
0,262,991_chunk000,Applicant Detention and Asylum Claims,According to the national contribution to the EMN Report on Migration and Asylum 2019:,-8.93065357208252,60
0,8,6098_chunk000,Applicant Detention and Asylum Claims,"An Egyptian national lodged a subsequent application for international protection, claiming that he feared persecution in the event of return to Egypt on account of his sexual orientation. The Office for the Protection of Refugees and Stateless Persons (OFPRA) rejected the application on 27 April 2022.",-8.963113784790039,61
0,94,3265_chunk000,Applicant Detention and Asylum Claims,"The applicants, a family with children, nationals of Georgia, applied for international protection in Spain on 3 July 2018, stating that the husband had a traffic accident with an employee of a hotel near his home, that he received compensation from the hotel, and in turn, the hotel claimed the money from the employee for being the culprit.",-9.53902816772461,62
0,95,3265_chunk001,Applicant Detention and Asylum Claims,"The husband indicated that the employee appeared at the applicants' home and claimed the amount of compensation, harassed his wife and threatened...",-9.672951698303223,63
0,20,4962_chunk000,Applicant Detention and Asylum Claims,"On 17 March 2021, the applicant applied for recognition of statelessness. In support of her application, she claimed that she was a Latvian non-citizen, which represents a category of people who lived in Latvia when it was still a part of the Soviet Union and then remained there after 1991 without acquiring Latvian citizenship.",-9.725825309753418,64
0,383,646_chunk000,Applicant Detention and Asylum Claims,"According to EDAL's summary:

""On 8 February 2018, the Swiss Federal Administrative Tribunal ruled in a case concerning a Turkish journalist of Kurdish ethnicity who lodged an application for international protection in Zurich after arriving from Brazil. She claimed that she had been arrested and convicted in Turkey due to her profession and alleged connection with a terrorist organisation.",-10.194355010986328,65
0,162,921_chunk001,Applicant Detention and Asylum Claims,"More analytically, a female asylum seeker had upon arrival to Norway...",-10.45482349395752,66
0,239,995_chunk001,Applicant Detention and Asylum Claims,"Persons from the West Bank can claim to have legitimate fears with regard to Israel, which is not a third State vis-a-vis the West Bank. In this case, the CNDA had rejected the appeal of an applicant from the West Bank after having ruled that he came exclusively under the jurisdiction of the Palestinian Authority. Yet the Council of State...",-10.628878593444824,67
0,23,4828_chunk001,Applicant Detention and Asylum Claims,"On 1 August 2023, the Minister for Asylum and Migration declared...",-10.640358924865723,68
0,184,979_chunk000,Applicant Detention and Asylum Claims,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:,-10.814071655273438,69
0,186,997_chunk000,Applicant Detention and Asylum Claims,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:,-10.814071655273438,70
0,192,972_chunk000,Applicant Detention and Asylum Claims,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:,-10.814071655273438,71
0,216,983_chunk000,Applicant Detention and Asylum Claims,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:,-10.814071655273438,72
0,218,998_chunk000,Applicant Detention and Asylum Claims,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:,-10.814071655273438,73
0,238,995_chunk000,Applicant Detention and Asylum Claims,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:,-10.814071655273438,74
0,242,994_chunk000,Applicant Detention and Asylum Claims,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:,-10.814071655273438,75
0,268,988_chunk000,Applicant Detention and Asylum Claims,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:,-10.814071655273438,76
0,270,989_chunk000,Applicant Detention and Asylum Claims,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:,-10.814071655273438,77
0,272,990_chunk000,Applicant Detention and Asylum Claims,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:,-10.814071655273438,78
0,280,986_chunk000,Applicant Detention and Asylum Claims,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:,-10.814071655273438,79
0,282,987_chunk000,Applicant Detention and Asylum Claims,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:,-10.814071655273438,80
0,284,985_chunk000,Applicant Detention and Asylum Claims,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:,-10.814071655273438,81
0,498,150_chunk001,Applicant Detention and Asylum Claims,"The Court found that the two weeks detention of four children together with their parents violated Article 3 of the ECHR, and Articles 5, 8, and 37 of the Convention on the Rights of...",-11.012167930603027,82
0,234,1086_chunk000,Applicant Detention and Asylum Claims,"A national of Ivory Coast applied for international protection on 22 January 2018, claiming that he was born on 2001 but did not submit documents to prove his date of birth. Following an age assessment, the State Secretary concluded that the applicant was not a minor.",-11.99288558959961,83
0,115,3239_chunk001,Applicant Detention and Asylum Claims,"The Municipal Court stated that the authorities' decision to reject his application for refugee protection was unlawful and annulled the decision in its entirety, claiming that annulling only part of it would lead to an...",-12.065009117126465,84
0,461,178_chunk001,Applicant Detention and Asylum Claims,"The guidance was designed to ensure that such persons had an effective right of access to the tribunal and a voice in the proceedings, and that their claims were fairly determined....",-12.273961067199707,85
0,469,130_chunk001,Applicant Detention and Asylum Claims,"Such a transfer decision can not therefore be taken, let alone notified to the person concerned, until after acceptance by the requested State. The Council also issued an opinion on the possibility of administrative detention...",-12.323599815368652,86
0,471,175_chunk001,Applicant Detention and Asylum Claims,"(ii) There is a general duty of confidentiality during the process of examining a protection claim, including appellate and judicial review proceedings. If...",-12.33372974395752,87
0,10,5761_chunk000,Applicant Detention and Asylum Claims,"A. and B., together with their two children, requested international protection in Romania on 12 July 2023 and in Switzerland on 26 July 2023. On 11 August 2023, they submitted an application for recognition of statelessness in Switzerland, claiming to be stateless Maktumin from Syria.",-12.557604789733887,88
0,24,4729_chunk000,Applicant Detention and Asylum Claims,"A national of Tajikistan from the Pamiri ethnic group requested international protection in Luxembourg on 16 January 2020, claiming a risk of persecution due to his political activities related to revealing unlawful practices and abuses of power within the State.",-12.59131908416748,89
0,387,506_chunk001,Applicant Detention and Asylum Claims,"He claimed to therefore qualify to obtain an ipso facto refugee declaration under the 1951 Convention relating to the Status of Refugees (Geneva Convention).

The Migration Court of Appeal relied on the CJEU jurisprudence,...",-12.60743236541748,90
0,245,947_chunk001,Applicant Detention and Asylum Claims,"The third-country national submitted information on the risk that, during arrest and detention, Gülenists will be exposed to treatment in conflict with...",-12.616631507873535,91
0,351,654_chunk000,Applicant Detention and Asylum Claims,"F.L., a Cameroonian national claiming to be a minor, applied for international protection in Belgium on 8 January 2018. On the same day, based on his physical appearance and statements, the Minors and Victims of Trafficking in Human Beings Unit of the Belgian Immigration Office expressed doubts as to his claimed minority and referred him for an immediate medical age assessment.",-12.8027925491333,92
0,156,920_chunk000,Applicant Detention and Asylum Claims,"Between 26 July and 1 October 2015, 5 Afghan nationals applied for international protection in Norway, claiming to be 15-16 years old. After further assessments, which also included medical age examinations, the immigration authorities considered that they were all older than 18 years.",-12.956623077392578,93
0,5,5889_chunk001,Applicant Detention and Asylum Claims,"Upon registration, they were asked their ages by the authorities and claimed to be 14 and 7 years old respectively. As they were undocumented, they...",-13.173468589782715,94
0,402,151_chunk000,Applicant Detention and Asylum Claims,"A., B., C., D., and E., five young Afghan nationals, arrived separately in Norway between 26 July 2015 and 1 October 2015. Each applied for international protection, claiming to be between 15 and 16 years old at the time of arrival.",-13.387170791625977,95
0,267,945_chunk000,Applicant Detention and Asylum Claims,"This case concerns the consequences of an appeal with no automatic suspensive effect.

Following the CJEU ruling in C-180/17, the Council of State held that foreign nationals do not automatically have to be given the opportunity to await their appeal in the Netherlands. In the meantime, they also have no right of residence on the basis of which they can claim...",-13.82667350769043,96
0,403,151_chunk001,Applicant Detention and Asylum Claims,"None of them possessed documentary evidence supporting their claimed ages and were referred for medical age assessments consisting of an X-ray of the left hand and wrist and a dental X-ray (Liversidge and Haavikko methods).

Following the assessments, in...",-13.901253700256348,97
0,509,68_chunk000,Applicant Detention and Asylum Claims,"The case concerned the removal of an Afghan family under the Dublin regulation. Both parents were placed separately in administrative detention and weren't allowed to communicate. The mother stayed with her baby while the other children (3, 6 and 8) were placed in a children's home. After 20 days the family was removed to Norway.",-13.945944786071777,98
0,470,175_chunk000,Applicant Detention and Asylum Claims,The Upper Tribunal Ruled that: i) There is no general duty of inquiry upon the examiner to authenticate documents produced in support of a protection claim. There may be exceptional situations when a document can be authenticated by a simple process of inquiry which will conclusively resolve the authenticity and reliability of a document.,-14.134432792663574,99
1,184,979_chunk000,Emigration  Asylum  And 2019 Report,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:,-0.0035853409208357334,0
1,186,997_chunk000,Emigration  Asylum  And 2019 Report,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:,-0.0035853409208357334,1
1,192,972_chunk000,Emigration  Asylum  And 2019 Report,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:,-0.0035853409208357334,2
1,216,983_chunk000,Emigration  Asylum  And 2019 Report,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:,-0.0035853409208357334,3
1,218,998_chunk000,Emigration  Asylum  And 2019 Report,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:,-0.0035853409208357334,4
1,238,995_chunk000,Emigration  Asylum  And 2019 Report,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:,-0.0035853409208357334,5
1,242,994_chunk000,Emigration  Asylum  And 2019 Report,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:,-0.0035853409208357334,6
1,268,988_chunk000,Emigration  Asylum  And 2019 Report,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:,-0.0035853409208357334,7
1,270,989_chunk000,Emigration  Asylum  And 2019 Report,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:,-0.0035853409208357334,8
1,272,990_chunk000,Emigration  Asylum  And 2019 Report,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:,-0.0035853409208357334,9
1,280,986_chunk000,Emigration  Asylum  And 2019 Report,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:,-0.0035853409208357334,10
1,282,987_chunk000,Emigration  Asylum  And 2019 Report,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:,-0.0035853409208357334,11
1,284,985_chunk000,Emigration  Asylum  And 2019 Report,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:,-0.0035853409208357334,12
1,190,996_chunk000,Emigration  Asylum  And 2019 Report,"According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:

For the Council of State, the civil registry records reconstituted by the French Office for the Protection of Refugees and Stateless Persons (OFPRA) have identical value to the official originals, which precludes consular authorities contesting the particulars contained therein, except in cases of fraud.",-0.0036803623661398888,13
1,182,976_chunk000,Emigration  Asylum  And 2019 Report,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019 (information provided by the MO MoI of SR):,-0.004300157073885202,14
1,207,978_chunk000,Emigration  Asylum  And 2019 Report,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019 (information provided by the MO MoI of SR):,-0.004300157073885202,15
1,289,984_chunk000,Emigration  Asylum  And 2019 Report,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:,-0.0050040241330862045,16
1,197,961_chunk000,Emigration  Asylum  And 2019 Report,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019 (information provided by MO MoI SR):,-0.005200786050409079,17
1,211,967_chunk000,Emigration  Asylum  And 2019 Report,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019 (information provided by MO MoI SR):,-0.005200786050409079,18
1,220,964_chunk000,Emigration  Asylum  And 2019 Report,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019 (information provided by MO MoI SR):,-0.005200786050409079,19
1,169,970_chunk000,Emigration  Asylum  And 2019 Report,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019 (information provided by the MO MoI SR):,-0.005305377766489983,20
1,180,974_chunk000,Emigration  Asylum  And 2019 Report,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019 (information provided by the MO MoI SR):,-0.005305377766489983,21
1,160,980_chunk000,Emigration  Asylum  And 2019 Report,"According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:

In these judgments (no. 230.067 and no. 230.068) the Council states that the principle of ""family unity"" does not give rise to a right to...",-0.005386007949709892,22
1,252,993_chunk000,Emigration  Asylum  And 2019 Report,According to the national contribution to the EMN Report on Migration and Asylum 2019:,-0.005407231394201517,23
1,258,992_chunk000,Emigration  Asylum  And 2019 Report,According to the national contribution to the EMN Report on Migration and Asylum 2019:,-0.005407231394201517,24
1,262,991_chunk000,Emigration  Asylum  And 2019 Report,According to the national contribution to the EMN Report on Migration and Asylum 2019:,-0.005407231394201517,25
1,454,23_chunk000,Emigration  Asylum  And 2019 Report,"The Finnish Immigration Service had rejected A 's application for asylum and residence permit on the basis of the conflict between A and his father' s claims for asylum. Although the father's report has thus affected A's case, he or she has not been given the opportunity to give an explanation of the report and contradictions that it has in relation to his or her report.",-2.490093946456909,26
