topic_id,topic_name,topic_keywords,num_queries
134,Semantic Passage Content Analysis,"passage, semantic, content, described, cited, references, sentence, passages, migrants, exceptions",21
135,Permanent Resident Visa Appeals,"resident, permanent, visa, refusal, approve, appeal, application, successfully, stemming, residence",21
136,Humanitarian And Compassionate Appeals,"compassionate, humanitarian, grounds, appeals, considerations, appeal, requested, dismiss, dismissing, spousal",20
137,Jamaica Travel Discrepancy,"jamaica, he, sooner, return, vietnam, his, states, has, why, boycotts",20
138,Removal Order Appeals Definition,"removal, order, appeal, against, punished, terminate, occurs, cancel, least, appealing",20
139,Somali Clan and Yibr Culture,"yibr, clans, groups, somali, yibir, minority, occupational, somalia, mahdiban, tribe",20
140,Deference In Credibility Assessment,"deference, owed, findings, scope, degree, respect, ize, owes, recogn, takes",19
141,Refugee Appeal Division Role,"rad, refugee, role, claim, decision, reviewing, unfounded, manifestly, after, rejection",19
142,Legal Interpretation And Amendments,"interpreter, amendment, translator, translation, 2018, boc, affidavit, january, arabic, interpreting",19
143,Seeking Protection in Mexico,"mexico, seeking, claimant, agencies, seek, international, steps, protection, help, country",19
144,Refugee Status Determination Handbook,"determination, status, refugee, criteria, displaced, handbook, stance, cessation, opinions, determining",19
145,Dismissal And Appeal Definitions,"dismissal, appeal, dismissed, dismissing, definition, provide, of, meaning, an, reasons",19
146,India Return Travel Queries,"india, qatar, return, travel, remaining, equity, mumbai, travelling, returning, satisfy",19
147,Special Relief Definitions,"special, relief, favour, threshold, mited, weighing, warranted, positive, assistance, considerations",19
148,Residency Compliance & Obligations,"residency, permanent, parents, comply, met, failure, relinquishing, fulfil, reflect, residence",19
149,Chalatenango Stabbing Incident Description,"stabbing, description, shot, assault, surrounding, victim, incident, describe, attack, chalatenango",18
150,Pri Party Investigation Story,"party, pri, candidates, election, outline, pan, opposition, involvement, xxxxx, story",18
151,Rpd Record Definitions,"record, rpd, exhibit, item, 12, pp, 323, 352, 2016, pak",18
152,Canadian Return And Arrival,"he, toronto, arrive, canada, 1973, getting, licensing, weeks, his, specifics",18
153,applicant age and demographics,"age, ages, nationalities, countries, difference, applicant, 02262, mb7, interpret, birthdates",18
154,Residency Obligation Compliance Issues,"obligation, residency, discretionary, meet, breach, failed, despite, comply, appropriate, failure",18
155,Visa Officer Decision Validity,"officer, validity, decision, conclusion, legal, immigration, visa, kingston, disjunctive, csis",18
156,Residency Non-Compliance Obligations,"residency, obligation, extent, compliance, comply, non, obligations, breach, with, failing",18
157,Humanitarian Immigration Appeals,"humanitarian, compassionate, considerations, appeals, 65, visa, grounds, entry, immigration, cases",18
158,Contextual Credibility Assessment,"context, plausibility, define, assessment, implausibility, meaning, credibility, in, of, the",18
159,Special Relief Considerations,"special, relief, granting, weigh, granted, circumstances, grounds, positively, merited, merit",17
160,Humanitarian residency considerations,"residency, considerations, humanitarian, obligation, compassionate, overcome, compliance, relief, non, obligations",17
161,Conjugal Relationships Definition,"conjugal, partner, recognition, relationship, common, partners, characteristic, exclusive, resources, law",17
162,Sponsorship Appeal Definitions,"sponsorship, appeal, eligibility, sponsored, interpreter, hearing, admissibility, class, role, definition",17
163,Colombia Human Rights 2009,"colombia, human, rights, farc, eln, 2009, abuses, practices, colombian, kidnapping",17
164,Refugee Protection Appeals and Claims,"refugee, protection, appeal, exhaust, remedies, fgm, granted, claim, asylum, outcome",17
165,Res Judicata Definition And Principle,"res, judicata, doctrine, principle, adoption, definition, provide, context, of, meant",17
166,Panel Tribunals And Designations,"tribunal, panel, erwin, designations, alidina, nest, committee, inquiry, xxxxxxxxxxxxxxxxx, roles",17
167,Irpa Status And Acquisition,"privilege, acquiring, status, under, or, purpose, irpa, gaining, any, acquisition",16
168,Irpa Marriage Appeal Requirements,"succeed, dismissing, spouse, disqualifying, marriage, requirements, regulations, irpa, status, adjudication",16
169,Designated Representative Roles,"designated, representative, appointing, conference, proceedings, define, pre, requirements, legal, act",16
170,Hardship Related To Removal From Canada,"hardship, removal, caused, loss, canada, impact, reliant, enforced, breadwinner, stop",16
171,Employment And Institute History,"employment, telecom, gs, mr, history, xxxxxx, activities, institute, habitation, boss",16
172,Historical Narrative Credibility Assessment,"narrative, past, events, plausibility, hand, observation, underlying, reliability, define, behaviour",16
173,Immigration Residency Obligations,"28, residency, section, obligation, act, under, obligations, protection, refugee, tuition",16
174,Phone Calls And Conversations,"phone, call, telephone, discussed, much, calls, parties, discussing, transmission, conversations",16
175,Visa Refusal Definitions,"refusal, letter, dated, invalidate, valid, validity, justification, refusals, part, august",16
176,Permanent Resident Application Refusals,"permanent, refusal, denial, resident, visa, residence, application, entities, csis, reasons",15
177,Vulnerable Person Procedure Guidelines,"vulnerable, guideline, appearing, persons, procedures, person, respect, irb, defined, before",15
178,Humanitarian and Compassionate Grounds,"compassionate, grounds, humanitarian, voluntary, 65, ground, insufficient, needed, overcome, sufficient",15
179,Prospective Risk Assessment,"risk, prospective, implicit, articulated, generalized, bears, profiles, greater, sanctions, preparedness",15
180,Legal Appeal & Dismissal Process,"dismiss, dismissed, appeal, dismissal, recommendation, confirming, declare, abandoned, withdrawing, allow",15
181,Disclosure Of Criminal Records,"criminal, conviction, convictions, disclose, convicted, another, involved, charges, knowingly, withhold",14
182,Undue Hardship Definition,"hardship, undue, disproportionate, undeserved, unus, ual, unduly, duress, harsh, strong",14
183,Case Factor Analysis,"factor, case, factors, analyzing, intentions, assessing, reaching, mitigating, pull, considered",14
184,Judicial Review Definition,"judicial, review, route, courts, decision, leave, role, definition, provide, of",14
185,Res Judicata Legal Principle,"res, judicata, preconditions, principle, applying, issue, circumstances, doctrine, prevent, estoppel",14
186,Credibility And Sentiment Assessment,"sentiment, credibility, define, assessment, and, , , , , ",14
187,Mental Health & Medical History,"depression, anxiety, medical, diagnosis, attacks, regimen, charged, hospitalizations, diagnoses, adhd",14
188,Legal Counsel & Ministerial Representation,"counsel, minister, for, solicitor, randal, jain, barrister, submissions, define, appellant",14
189,Immigration Fraud And Disclosure,"applications, disclosure, authorities, repeatedly, lying, questionable, evasiveness, honest, unregulated, consultants",14
190,De Novo Hearing Definitions,"novo, de, hearing, limited, justifies, trial, appeal, iad, date, definition",14
191,Eritrean Passport and Citizenship,"eritrean, ethiopia, license, driver, passport, citizen, ethiopian, obtaining, school, nationality",14
192,Djibouti Returnee Economic Concerns,"djibouti, salary, monthly, political, francs, average, widow, returnees, gross, dollars",14
193,Zimbabwean Migration and Appeals,"zimbabwe, kenya, tanzania, leaving, paragraphs, inclusive, departing, 123522, finding, 2016",14
194,Work Permit And LMIA Applications,"permit, history, work, lmia, approval, viewed, beneficiaries, engineer, chemical, learning",14
195,Evidence Under Section 110,"110, subsection, section, evidence, new, under, passing, adr, appropriateness, rpa",13
196,Appellant Background Summary,"background, summary, information, included, personal, sharing, cell, companion, girl, living",13
197,Passport And Travel Document Requests,"passport, copy, travel, document, or, acquisition, extension, your, application, avail",13
198,Trv Application And Refusals,"trv, application, ov, assurances, prepared, refusals, made, signature, dispute, purpose",13
199,Rehabilitation Definition And Assessment,"rehabilitation, program, hol, indicators, contexts, full, drug, possibility, loss, context",13
200,Vietnam Trip Inquiry 2006,"vietnam, trip, 2006, travel, visits, dalat, ho, chi, minh, neighboring",13
201,Decision-Making And Information Analysis,"decision, based, thorough, choices, contains, drawing, helpful, existing, information, discussion",13
202,Indian Citizenship Deprivation,"citizenship, indian, deprivation, stateless, revoke, congolese, asserting, lost, acquired, country",13
203,Seeking Protection Steps,"seek, steps, protection, reasonable, laminated, fatal, re, exhausting, availment, oneself",13
204,Rpd Hearing Transcript Cluster,"transcript, audio, recording, hearing, recordings, 01867, rpd, tb7, transcripts, redundancy",13
205,Female Genital Mutilation Concerns,"fgm, female, genital, mutilation, assault, prohibiting, rape, cutting, correction, nigeria",13
206,Understanding Plausibility's Meaning,"plausibility, meant, by, meaning, is, what, define, of, the, ",12
207,Humanitarian Compassion & Considerations,"compassionate, humanitarian, considerations, generosity, humanitarianism, helpfulness, prtd, compassion, truthfulness, consideration",12
208,Domestic Arrests And Family Issues,"arrest, she, father, her, protect, police, 2012, woman, steps, searching",12
209,Employee Termination and Management,"dismissal, discontinuance, vehement, resignation, appointment, denunciation, notice, management, disposition, company",12
210,Tribunal Counsel Roles Definition,"tribunal, counsel, xxxxxxxxxxxxxx, panel, xxxxxxxxxxxx, mojdeh, shahriari, roles, define, designated",12
211,Budisukma Puncak Court Decisions,"summary, court, decision, 01887, berhad, budisukma, sendirian, puncak, federal, 00697",12
212,Non-accompanying family member provision,"accompanying, non, examined, disclose, provision, failing, jeopardized, preclude, family, members",12
213,Legal Validity And Ambiguity,"validity, legal, vague, terms, ambiguity, materiality, law, wording, violation, statutory",12
214,Tribunal Definitions And Procedures,"tribunal, wer, calling, lower, tribunals, setting, prevent, terms, used, jurisdiction",12
215,Subjective Fear And Appellants,"subjective, fear, corroborating, nonchalance, always, legitimately, stan, exists, determinative, basis",12
216,Refugee Claim Timeline & Process,"timeline, related, permit, appeared, kevin, 49, claim, deportation, czech, old",12
217,Well-Founded Fear Of Persecution,"founded, fear, well, persecution, assume, punishment, unusual, it, cruel, differences",12
218,Lahore Risk Assessment & Persecution,"lahore, risk, iran, had, notoriety, contract, farsi, sikhs, apostate, anywhere",11
219,Internal Flight Alternatives & Romania,"flight, internal, alternative, romania, return, viable, country, nationality, unit, uk",11
220,Final Reconsideration Process,"reconsideration, final, schedulin, rescinded, finality, 48, chairperson, ribic, imprisonment, confirmation",11
221,Documentary Evidence Cluster,"documentary, photographic, evidence, package, chile, documentation, visits, proceedings, national, contact",11
222,Rpd File Number Definition,"spr, de, dossier, ma9, no, la, file, mb0, tb9, 10268",11
223,Letter Discrepancies And Intentions,"letters, letter, may, 14th, something, 22nd, amiss, intentions, psychiatrist, greeting",11
224,Appellant-Applicant Relationship Timeline,"timeline, september, visits, 1995, relationship, applicant, 1996, between, august, meetings",11
225,Canlii Irb Case Definitions,"canlii, ca, irb, no, client, vb6, id, de, sai, la",10
226,escape and accomplice movements,"accomplice, movements, escape, go, surrounded, motorbike, approached, felt, attackers, comfort",10
227,Affidavits And Notarization Processes,"affidavits, affidavit, notarization, notaries, guarantees, confidentiality, ethical, notary, obligations, xxxxxxxxxxx",10
228,Discretionary Relief Definitions,"discretionary, relief, colleague, open, may, powers, appeals, granting, concerning, discretion",10
229,Sibling Relationships And Schemes,"siblings, brother, younger, embellish, feigned, exchange, scheme, meeting, choose, sibling",10
